province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Bà Rịa–Vũng Tàu,2023-Q1,2023,1,22.54889990984548,14.552570902578285,197.897375,16.0,2.0,False,Southeast,1,1303000,36786.39,580,102759.68,3286254.54
Bình Dương,2023-Q1,2023,1,9.071972908264147,3.658284051250091,146.48728571428572,7.0,2.0,False,Southeast,2,2564000,3663.54,901,10233.79,327276.61
Bình Phước,2023-Q1,2023,1,38.01326958519035,,141.96466666666666,3.0,1.0,False,Southeast,2,1313000,3606.56,145,10074.62,322186.39
Bình Thuận,2023-Q1,2023,1,40.45130114557505,31.502123143285115,115.54776404494382,89.0,3.0,False,South Central Coast,2,1498000,3090.17,155,8632.13,276055.5
Bình Định,2023-Q1,2023,1,11.63063555233184,8.800082571144593,278.1796893203883,103.0,2.0,False,South Central Coast,2,1679000,3089.1,245,8629.14,275959.91
Bắc Giang,2023-Q1,2023,1,17.861834004537886,21.501110238244717,171.27702941176472,34.0,2.0,False,Northeast,4,1884000,1909.44,463,5333.86,170576.83
Bắc Kạn,2023-Q1,2023,1,18.92169206391308,10.070660020100357,173.33263414634146,41.0,1.0,False,Northeast,4,338000,1766.68,65,4935.07,157823.59
Bắc Ninh,2023-Q1,2023,1,28.05738107877048,21.06289245072619,140.27163636363636,11.0,1.0,False,Red River Delta,1,1447000,4451.41,1664,12434.64,397659.74
Bến Tre,2023-Q1,2023,1,32.34820086287762,30.218602325510087,92.36263768115941,69.0,1.0,False,Mekong Delta,2,1331000,2978.48,538,8320.13,266077.85
Cao Bằng,2023-Q1,2023,1,15.223573963446425,20.45082370969024,143.0369090909091,11.0,1.0,False,Northeast,4,576000,1564.27,79,4369.66,139741.61
Cà Mau,2023-Q1,2023,1,27.599269922321366,15.812177539873547,145.47369014084506,71.0,1.0,False,Mekong Delta,2,1369000,3121.66,229,8720.09,278868.61
Cần Thơ,2023-Q1,2023,1,22.603763347032675,23.345134126042794,120.45553333333334,15.0,2.0,False,Mekong Delta,1,1456000,6260.52,858,17488.23,559273.75
Ho Chi Minh,2023-Q1,2023,1,23.90043708838917,13.218081209168167,152.59948025239544,4279.0,5.0,True,Southeast,1,9125000,7147.09,4363,19964.79,638474.09
Hà Nam,2023-Q1,2023,1,19.80805348953829,,261.71999999999997,7.0,2.0,False,Red River Delta,4,945000,2131.93,989,5955.37,190452.63
Hà Nội,2023-Q1,2023,1,19.884035526754992,10.70448471463534,175.14166374513076,7188.0,2.0,False,Red River Delta,1,8146000,3923.21,2398,10959.16,350473.82
Hòa Bình,2023-Q1,2023,1,22.286068928137766,9.640724534605404,163.37901960784313,51.0,1.0,False,Northwest,3,979000,2343.13,186,6545.34,209319.85
Hải Dương,2023-Q1,2023,1,23.96331852622878,19.392226709094388,135.76372727272727,33.0,3.0,False,Red River Delta,3,2003000,2513.92,1134,7022.42,224577.11
Hải Phòng,2023-Q1,2023,1,18.40921381891552,8.009953224711925,176.22421052631577,19.0,1.0,False,Red River Delta,1,2138000,3849.18,1299,10752.36,343860.47
Khánh Hòa,2023-Q1,2023,1,17.088592102091017,29.881135546793786,201.51908,25.0,1.0,False,South Central Coast,1,1371000,4180.68,240,11678.38,373474.5
Kiên Giang,2023-Q1,2023,1,37.46481333727917,19.55496461840617,140.62847368421052,19.0,1.0,False,Mekong Delta,1,1789000,4336.43,271,12113.45,387388.18
Nam Định,2023-Q1,2023,1,18.01959566936793,15.210342393248364,161.55552173913043,46.0,2.0,False,Red River Delta,4,1852000,1904.97,1067,5321.37,170177.51
Nghệ An,2023-Q1,2023,1,20.200842580969066,,185.36675,4.0,1.0,False,North Central Coast,3,3399000,2379.59,202,6647.18,212576.95
Phú Thọ,2023-Q1,2023,1,11.492300894465766,,165.48633333333333,3.0,1.0,False,Northeast,4,1515000,1916.23,414,5352.83,171183.41
Quảng Nam,2023-Q1,2023,1,29.83199600740479,13.3907588864235,139.25361363636364,132.0,3.0,False,South Central Coast,2,1697000,3192.34,141,8917.53,285182.69
Quảng Trị,2023-Q1,2023,1,22.116702406668928,10.173073796422427,197.73612500000002,8.0,1.0,False,North Central Coast,3,687000,2672.1,137,7464.29,238707.87
Sóc Trăng,2023-Q1,2023,1,33.83047848059606,17.597081194942263,92.08279999999999,5.0,1.0,False,Mekong Delta,3,1256000,2835.46,362,7920.62,253301.38
Thanh Hóa,2023-Q1,2023,1,19.33579307756464,10.790963872139102,172.8656875,32.0,2.0,False,North Central Coast,3,3689000,2434.69,328,6801.1,217499.22
Thái Bình,2023-Q1,2023,1,7.507133262860866,15.363139336378985,385.5833333333333,3.0,1.0,False,Red River Delta,4,1934000,2090.86,1173,5840.64,186783.7
Thừa Thiên Huế,2023-Q1,2023,1,24.74645983144256,13.473680433069605,151.65323508459485,1123.0,2.0,False,North Central Coast,2,1257000,3072.58,230,8582.99,274484.12
Tiền Giang,2023-Q1,2023,1,27.78693748718359,16.445011113227896,127.9292448979592,147.0,2.0,False,Mekong Delta,1,1898000,3781.77,703,10564.06,337838.5
Tuyên Quang,2023-Q1,2023,1,16.23128268627335,12.979805627122024,143.83589999999998,10.0,1.0,False,Northeast,4,1056000,1948.18,134,5442.08,174037.61
Tây Ninh,2023-Q1,2023,1,23.802490548878737,17.61771570333536,63.709666666666664,3.0,1.0,False,Southeast,1,1207000,4058.65,289,11337.5,362573.14
Vĩnh Phúc,2023-Q1,2023,1,16.303839989505942,,127.43175,4.0,1.0,False,Red River Delta,1,1296000,3990.61,932,11147.43,356494.89
Yên Bái,2023-Q1,2023,1,29.06434575333144,19.52758215280339,173.0944,5.0,1.0,False,Northwest,4,950000,1845.51,119,5155.28,164865.75
Đà Nẵng,2023-Q1,2023,1,24.413217735157897,13.20735845314759,174.7393192488263,213.0,1.0,False,South Central Coast,1,1294000,4811.58,883,13440.74,429834.96
Đắk Lắk,2023-Q1,2023,1,10.483181988524144,20.799712565168285,256.3583888888889,18.0,2.0,False,Central Highlands,3,2016000,2555.78,143,7139.36,228316.6
Đắk Nông,2023-Q1,2023,1,32.336361489627,23.602394217940656,79.34633333333333,3.0,1.0,False,Central Highlands,2,670000,3000.7,96,8382.2,268062.84
Đồng Nai,2023-Q1,2023,1,26.853193481603768,41.38415821375679,203.52050000000003,8.0,2.0,False,Southeast,2,3227000,3485.16,528,9735.5,311341.31
Bà Rịa–Vũng Tàu,2023-Q2,2023,2,49.2318742445408,37.123556057083,182.65792857142856,56.0,1.0,False,Southeast,1,1303000,36786.39,580,102759.68,3286254.54
Bình Dương,2023-Q2,2023,2,11.952885182275002,11.618754879170627,161.88323809523808,21.0,2.0,False,Southeast,2,2564000,3663.54,901,10233.79,327276.61
