province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
An Giang,2023-Q1,2023,1,29.34903389911929,31.54737346771101,112.3894861660079,759.0,10.0,True,Mekong Delta,1,2057000,3791.46,540,10591.12,338704.14
Bà Rịa–Vũng Tàu,2023-Q1,2023,1,35.333410946053185,28.65794847947639,112.67098010269575,1558.0,7.0,True,Southeast,1,1303000,36786.39,580,102759.68,3286254.54
Bình Dương,2023-Q1,2023,1,31.278104819353267,25.175450110530395,107.47971619812583,747.0,11.0,True,Southeast,2,2564000,3663.54,901,10233.79,327276.61
Bình Phước,2023-Q1,2023,1,29.091670998703698,24.916345743132485,124.48343525179858,278.0,8.0,True,Southeast,2,1313000,3606.56,145,10074.62,322186.39
Bình Thuận,2023-Q1,2023,1,31.337099501037834,29.9365159920258,97.12555732484077,314.0,5.0,True,South Central Coast,2,1498000,3090.17,155,8632.13,276055.5
Bình Định,2023-Q1,2023,1,25.487973098760133,24.514049928605875,158.25465739821254,1007.0,13.0,True,South Central Coast,2,1679000,3089.1,245,8629.14,275959.91
Bạc Liêu,2023-Q1,2023,1,37.22316855965439,22.408224916579393,90.02317514124293,177.0,1.0,False,Mekong Delta,2,1105000,3701.98,340,10341.17,330710.59
Bắc Giang,2023-Q1,2023,1,20.057172330399954,21.51540065441111,188.57612637718725,1543.0,4.0,False,Northeast,4,1884000,1909.44,463,5333.86,170576.83
Bắc Kạn,2023-Q1,2023,1,26.41453948922094,24.06365675567735,218.572390625,64.0,1.0,False,Northeast,4,338000,1766.68,65,4935.07,157823.59
Bắc Ninh,2023-Q1,2023,1,23.398755267619105,24.005177218869964,170.48364075067022,1119.0,4.0,False,Red River Delta,1,1447000,4451.41,1664,12434.64,397659.74
Bến Tre,2023-Q1,2023,1,34.03438867666982,31.459540479238225,105.016336492891,633.0,4.0,False,Mekong Delta,2,1331000,2978.48,538,8320.13,266077.85
Cao Bằng,2023-Q1,2023,1,16.43073978353218,24.804078321380373,194.48890624999999,96.0,1.0,False,Northeast,4,576000,1564.27,79,4369.66,139741.61
Cà Mau,2023-Q1,2023,1,29.74233867650906,29.350439199603432,114.80090736342045,421.0,2.0,False,Mekong Delta,2,1369000,3121.66,229,8720.09,278868.61
Cần Thơ,2023-Q1,2023,1,33.745942564153694,30.63229188366264,110.71728015397773,2338.0,6.0,True,Mekong Delta,1,1456000,6260.52,858,17488.23,559273.75
Gia Lai,2023-Q1,2023,1,21.547858038472185,22.73867412512388,192.71051999999997,650.0,1.0,False,Central Highlands,2,1586000,3023.2,98,8445.05,270072.84
Ho Chi Minh,2023-Q1,2023,1,38.441002775360005,30.05974201320679,116.27228871629457,31931.0,25.0,True,Southeast,1,9125000,7147.09,4363,19964.79,638474.09
