province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Bantey Meanchey,2023-Q1,2023,1,35.095643235676434,32.58161633836616,23.32996700329967,10001.0,309.0,True,Northwest,1,898484,199216.96,135
Battambang,2023-Q1,2023,1,24.90484386381631,25.122043547110053,18.102771179730798,6315.0,748.0,True,Northwest,2,1132017,199216.96,97
Kampong Cham,2023-Q1,2023,1,21.494499203060247,20.28025884603124,12.65954733822123,3137.0,388.0,True,East,4,1062914,199216.96,234
Kampong Chhnang,2023-Q1,2023,1,28.78736090225564,31.546111278195486,12.406015037593985,1330.0,218.0,True,Center,1,604895,199216.96,110
Kampong Speu,2023-Q1,2023,1,23.895436997319035,23.449768096514745,13.697050938337801,2238.0,342.0,True,Southwest,4,924175,199216.96,132
Kampong Thom,2023-Q1,2023,1,22.27020588235294,23.367800735294118,13.235294117647058,1360.0,218.0,True,Center,3,807254,199216.96,58
Kampot,2023-Q1,2023,1,27.38209185132237,28.396087205146532,10.051107934238741,2798.0,368.0,True,Southwest,2,682987,199216.96,140
Kandal,2023-Q1,2023,1,23.473052951506148,24.32522112657031,10.338376333918681,7403.0,823.0,True,Center,2,1352198,199216.96,425
Kep,2023-Q1,2023,1,31.474430555555553,34.992555555555555,8.76388888888889,432.0,73.0,True,South,2,48772,199216.96,145
Koh Kong,2023-Q1,2023,1,28.68114116828929,30.980924895688453,14.608484005563282,1438.0,138.0,True,Southwest,3,140962,199216.96,14
Kratie,2023-Q1,2023,1,18.911228996282528,21.60999553903346,12.34721189591078,1345.0,194.0,True,East,3,441078,199216.96,40
Mondulkiri,2023-Q1,2023,1,34.00027902946274,35.982301559792035,12.94107452339688,577.0,115.0,True,East,4,93657,199216.96,7
Oddar Meanchey,2023-Q1,2023,1,19.53389285714286,21.778924369747898,13.897058823529411,476.0,95.0,True,North,1,267703,199216.96,43
Pailin,2023-Q1,2023,1,28.525818094321465,28.146171318575554,17.092396535129932,1039.0,87.0,True,West,2,79445,199216.96,99
Phnom Penh,2023-Q1,2023,1,32.40273126188176,31.015666303071857,6.981467053116008,96261.0,1166.0,True,Capital,1,2352851,199216.96,3465
Preah Sihanouk,2023-Q1,2023,1,30.375080295286768,31.18477614991482,13.203975014196478,8805.0,300.0,True,South,2,234702,199216.96,121
Preah Vihear,2023-Q1,2023,1,18.149757679180887,20.489453924914677,18.72013651877133,293.0,81.0,True,North,3,249973,199216.96,18
Prey Veng,2023-Q1,2023,1,26.681722222222223,28.19234006734007,9.734006734006734,1188.0,213.0,True,East,1,1277867,199216.96,262
Pursat,2023-Q1,2023,1,20.4909387755102,21.467655102040816,12.89795918367347,980.0,186.0,True,West,4,516072,199216.96,41
Ratanakiri Province,2023-Q1,2023,1,24.899445414847165,25.80818558951965,16.03711790393013,458.0,83.0,True,Northeast,4,235852,199216.96,22
Siem Reap,2023-Q1,2023,1,28.804333868121287,28.043252927964062,12.645836675758062,12466.0,542.0,True,Northwest,1,1099825,199216.96,107
Stung Treng,2023-Q1,2023,1,25.26463157894737,30.26259649122807,14.812865497076023,342.0,48.0,True,Northeast,3,176488,199216.96,16
Svay Rieng,2023-Q1,2023,1,33.60688958009331,35.4500466562986,22.116251944012443,2572.0,218.0,True,Southeast,2,613159,199216.96,207
