province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Aceh,2023-Q1,2023,1,24.272803025977733,12.047070111333143,20.520353982300886,17515.0,1990.0,True,Sumatra,4,5626000,233536.0,99
Bali,2023-Q1,2023,1,36.88070404252085,35.88127273714385,12.118240748783878,184192.0,4274.0,True,Lesser Sunda Islands,3,4461300,339360.0,799
Bangka Belitung,2023-Q1,2023,1,29.36067662263067,19.791668724870764,18.646611143021254,6964.0,659.0,True,Sumatra,2,1550800,392960.0,93
Banten,2023-Q1,2023,1,35.907862971540645,25.610062496522563,9.031811606298337,287568.0,6097.0,True,Java,2,12537400,371936.0,1340
Bengkulu,2023-Q1,2023,1,20.501703998644526,10.85880277871908,28.860894611995935,5902.0,685.0,True,Sumatra,4,2138000,263712.0,106
Central Java,2023-Q1,2023,1,18.829613264218967,14.417068039125496,17.542504550619004,508722.0,28742.0,True,Java,4,38233900,260512.0,1113
Central Kalimantan,2023-Q1,2023,1,25.08055997488736,14.152301462441834,24.591328753970014,27078.0,2053.0,True,Kalimantan,1,2845000,423776.0,19
Central Sulawesi,2023-Q1,2023,1,20.671230485102193,14.102756463925141,37.56227530164984,20305.0,1572.0,True,Sulawesi,1,3156100,541024.0,51
East Java,2023-Q1,2023,1,20.831829460817808,15.015314345922656,17.871378049401844,765437.0,37620.0,True,Java,2,42089300,404416.0,876
East Kalimantan,2023-Q1,2023,1,26.620322740793497,14.644604822154259,17.134421215802924,47738.0,2778.0,True,Kalimantan,1,4267600,1229536.0,34
East Nusa Tenggara,2023-Q1,2023,1,24.31434757422158,12.710656770456191,30.147574221578566,6905.0,731.0,True,Lesser Sunda Islands,4,5742600,138592.0,124
Gorontalo,2023-Q1,2023,1,19.29944812990077,10.049829505239053,20.732912358614946,14411.0,1015.0,True,Sulawesi,4,1242200,250400.0,103
Jakarta,2023-Q1,2023,1,44.649125301134575,34.545990063860316,7.330191331072091,480267.0,1723.0,True,Java,1,10678000,1850432.0,16141
Jambi,2023-Q1,2023,1,20.982149779735682,14.187238140841473,23.681670178126797,15663.0,1146.0,True,Sumatra,1,3768500,439136.0,77
Lampung,2023-Q1,2023,1,18.892450985648303,14.958305468492247,22.180798416364237,48496.0,4069.0,True,Sumatra,3,9522900,275840.0,284
Maluku,2023-Q1,2023,1,21.857589865024863,10.39398366090457,24.501539190149185,4223.0,412.0,True,Maluku Islands,4,1970600,175616.0,43
North Kalimantan,2023-Q1,2023,1,23.80682489923869,12.055632333184057,44.74339453649799,4466.0,453.0,True,Kalimantan,1,749400,1044576.0,11
North Maluku,2023-Q1,2023,1,29.695219788438934,19.50631445667272,24.113046265626668,9359.0,559.0,True,Maluku Islands,3,1373800,271520.0,44
North Sulawesi,2023-Q1,2023,1,24.26358037084664,11.011535777989796,15.057535155763887,24107.0,1582.0,True,Sulawesi,2,2721400,364032.0,188
North Sumatra,2023-Q1,2023,1,29.539863246159406,21.58811437684554,15.326160900063543,80261.0,4430.0,True,Sumatra,2,15785800,387744.0,218
Papua,2023-Q1,2023,1,22.379000352516083,11.339031285802415,55.00925354719309,11347.0,724.0,True,Western New Guinea,2,4600500,363936.0,15
Riau,2023-Q1,2023,1,22.344827335406247,14.371798566986616,20.349276733811003,36985.0,2942.0,True,Sumatra,1,6811200,874688.0,76
