province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Attapeu,2023-Q1,2023,1,42.44684057971014,41.778166666666664,17.72705314009662,414.0,100.0,True,South,4,167000,258574.08,16
Bokeo,2023-Q1,2023,1,38.125179523141654,32.60930995792426,21.26507713884993,713.0,113.0,True,North,1,213300,258574.08,34
Bolikhamsai,2023-Q1,2023,1,30.19113203883495,32.531955339805826,13.054368932038836,515.0,138.0,True,Central,3,330700,258574.08,22
Champasak,2023-Q1,2023,1,29.804380876494022,25.36663984063745,19.85816733067729,1255.0,246.0,True,South,1,781200,258574.08,51
Houaphan,2023-Q1,2023,1,26.90042714570858,28.656532934131736,20.67864271457086,501.0,99.0,True,North,3,317100,258574.08,19
Khammouane,2023-Q1,2023,1,36.55452,34.98221787234043,17.13787234042553,1175.0,189.0,True,Central,2,451300,258574.08,28
Luang Namtha,2023-Q1,2023,1,30.653143790849672,28.60417320261438,14.993464052287582,306.0,78.0,True,North,3,208900,258574.08,22
Luang Prabang,2023-Q1,2023,1,31.45225522303783,26.871065499717677,10.275550536420102,1771.0,172.0,True,North,2,477700,258574.08,28
Oudomxay,2023-Q1,2023,1,30.0674178187404,28.21021966205837,11.179723502304148,651.0,141.0,True,North,3,360800,258574.08,23
Phongsaly,2023-Q1,2023,1,32.54966346153846,29.50016826923077,16.596153846153847,208.0,61.0,True,North,4,197600,258574.08,12
Salavan,2023-Q1,2023,1,28.111056437389774,28.418656084656085,16.077601410934744,567.0,142.0,True,South,1,464800,258574.08,43
Savannakhet,2023-Q1,2023,1,33.9660298245614,29.405024561403508,12.653070175438597,2280.0,311.0,True,South,1,1117500,258574.08,51
Vientiane,2023-Q1,2023,1,32.83627331486611,27.793761772853184,9.994459833795014,1083.0,189.0,True,Central,2,479400,258574.08,31
Vientiane Capital,2023-Q1,2023,1,41.375949923014886,35.913933719480895,7.47188210279346,13639.0,910.0,True,Central,1,1009300,258574.08,257
Xaignabouli,2023-Q1,2023,1,32.59911111111111,32.58270013386881,11.931726907630521,747.0,162.0,True,North,2,439400,258574.08,27
Xaisomboun,2023-Q1,2023,1,32.74920105820106,29.605899470899473,12.624338624338625,189.0,59.0,True,Central,4,116800,258574.08,14
Xekong,2023-Q1,2023,1,26.944757281553397,27.864310679611652,21.228155339805824,206.0,54.0,True,South,4,136700,258574.08,18
Xiangkhouang,2023-Q1,2023,1,27.311856020942407,29.042481675392672,15.968586387434556,382.0,96.0,True,North,3,274400,258574.08,19
Attapeu,2023-Q2,2023,2,36.108477611940295,34.883300995024875,17.186567164179106,402.0,100.0,True,South,4,167000,258574.08,16
Bokeo,2023-Q2,2023,2,34.078548922056385,27.178956882255388,27.449419568822552,603.0,112.0,True,North,1,213300,258574.08,34
Bolikhamsai,2023-Q2,2023,2,30.972772631578948,27.22474105263158,10.501052631578947,475.0,130.0,True,Central,3,330700,258574.08,22
Champasak,2023-Q2,2023,2,33.663237758112096,25.97799351032448,19.634218289085545,1695.0,286.0,True,South,1,781200,258574.08,51
Houaphan,2023-Q2,2023,2,28.447403603603604,29.346843243243242,20.60900900900901,555.0,110.0,True,North,3,317100,258574.08,19
Khammouane,2023-Q2,2023,2,37.69853488372093,35.80401967799642,12.881037567084078,1118.0,205.0,True,Central,2,451300,258574.08,28
Luang Namtha,2023-Q2,2023,2,30.169934210526318,27.617194736842105,15.51578947368421,380.0,79.0,True,North,3,208900,258574.08,22
Luang Prabang,2023-Q2,2023,2,38.22711111111111,33.30943868312757,9.553909465020576,1215.0,159.0,True,North,2,477700,258574.08,28
Oudomxay,2023-Q2,2023,2,29.358981994459835,29.492490304709143,12.308864265927978,722.0,135.0,True,North,3,360800,258574.08,23
Phongsaly,2023-Q2,2023,2,38.150467171717175,40.99838383838384,16.26010101010101,396.0,82.0,True,North,4,197600,258574.08,12
Salavan,2023-Q2,2023,2,27.844280501710376,27.29565450399088,15.686431014823262,877.0,162.0,True,South,1,464800,258574.08,43
Savannakhet,2023-Q2,2023,2,40.39147496677005,32.156968985378825,13.051395657953035,2257.0,317.0,True,South,1,1117500,258574.08,51
Vientiane,2023-Q2,2023,2,37.180860146252286,32.67979798903108,8.288848263254113,1094.0,247.0,True,Central,2,479400,258574.08,31
Vientiane Capital,2023-Q2,2023,2,41.86488989934051,36.027623672336,7.802776813606386,14405.0,873.0,True,Central,1,1009300,258574.08,257
Xaignabouli,2023-Q2,2023,2,36.40551285714286,32.32147285714286,12.704285714285714,700.0,190.0,True,North,2,439400,258574.08,27
Xaisomboun,2023-Q2,2023,2,24.766829493087556,25.768027649769586,16.327188940092167,1085.0,63.0,True,Central,4,116800,258574.08,14
Xekong,2023-Q2,2023,2,30.039569767441858,34.701066445182725,20.448504983388705,602.0,64.0,True,South,4,136700,258574.08,18
Xiangkhouang,2023-Q2,2023,2,30.92609090909091,31.205520661157024,13.606060606060606,363.0,99.0,True,North,3,274400,258574.08,19
Attapeu,2023-Q3,2023,3,37.85243665158371,40.463454751131216,19.699095022624434,442.0,100.0,True,South,4,167000,258574.08,16
Bokeo,2023-Q3,2023,3,31.801884384384387,27.38583333333333,23.66216216216216,666.0,137.0,True,North,1,213300,258574.08,34
Bolikhamsai,2023-Q3,2023,3,31.412330578512396,31.92623553719008,11.553719008264462,484.0,140.0,True,Central,3,330700,258574.08,22
Champasak,2023-Q3,2023,3,31.29971936758893,28.146363636363635,20.40316205533597,1518.0,273.0,True,South,1,781200,258574.08,51
Houaphan,2023-Q3,2023,3,35.54799045801526,33.64574618320611,16.33206106870229,524.0,119.0,True,North,3,317100,258574.08,19
Khammouane,2023-Q3,2023,3,42.80806759259259,45.341437962962964,11.53425925925926,1080.0,204.0,True,Central,2,451300,258574.08,28
Luang Namtha,2023-Q3,2023,3,31.600966135458165,31.602001992031873,14.571713147410359,502.0,78.0,True,North,3,208900,258574.08,22
Luang Prabang,2023-Q3,2023,3,33.79431551976574,31.891028550512445,10.55783308931186,1366.0,172.0,True,North,2,477700,258574.08,28
Oudomxay,2023-Q3,2023,3,33.14182994652406,34.06708128342246,13.906951871657753,935.0,180.0,True,North,3,360800,258574.08,23
Phongsaly,2023-Q3,2023,3,30.689407960199006,32.64506218905473,14.708955223880597,402.0,92.0,True,North,4,197600,258574.08,12
Salavan,2023-Q3,2023,3,24.89633293413174,26.917176047904192,16.27185628742515,835.0,149.0,True,South,1,464800,258574.08,43
Savannakhet,2023-Q3,2023,3,35.070219855595674,30.436897833935017,12.998194945848375,2770.0,337.0,True,South,1,1117500,258574.08,51
Vientiane,2023-Q3,2023,3,31.846692307692308,29.151582278481012,8.785783836416748,1027.0,203.0,True,Central,2,479400,258574.08,31
Vientiane Capital,2023-Q3,2023,3,42.33791452700402,38.144986719335286,7.1809575699788875,14683.0,926.0,True,Central,1,1009300,258574.08,257
Xaignabouli,2023-Q3,2023,3,33.1801791411043,31.68156073619632,14.204907975460122,815.0,181.0,True,North,2,439400,258574.08,27
Xaisomboun,2023-Q3,2023,3,21.13015,24.761764583333335,28.772916666666667,480.0,58.0,True,Central,4,116800,258574.08,14
Xekong,2023-Q3,2023,3,37.4884500792393,37.1086323296355,22.625990491283677,631.0,80.0,True,South,4,136700,258574.08,18
Xiangkhouang,2023-Q3,2023,3,28.662044444444444,30.67937777777778,14.535802469135803,405.0,91.0,True,North,3,274400,258574.08,19
Attapeu,2023-Q4,2023,4,49.66582107843137,42.857867647058825,20.08578431372549,408.0,96.0,True,South,4,167000,258574.08,16
Bokeo,2023-Q4,2023,4,36.50838599348534,30.82686970684039,22.72801302931596,614.0,126.0,True,North,1,213300,258574.08,34
Bolikhamsai,2023-Q4,2023,4,33.810862989323844,32.709845195729535,11.588967971530248,562.0,114.0,True,Central,3,330700,258574.08,22
Champasak,2023-Q4,2023,4,33.986934285714284,28.69308285714286,19.19214285714286,1400.0,273.0,True,South,1,781200,258574.08,51
Houaphan,2023-Q4,2023,4,29.47975050301811,30.058315895372235,25.279678068410462,497.0,121.0,True,North,3,317100,258574.08,19
Khammouane,2023-Q4,2023,4,65.4654677734375,65.1001240234375,12.201171875,1024.0,207.0,True,Central,2,451300,258574.08,28
Luang Namtha,2023-Q4,2023,4,37.48927855153204,33.9308217270195,15.991643454038996,359.0,72.0,True,North,3,208900,258574.08,22
Luang Prabang,2023-Q4,2023,4,40.51523081463991,35.871740259740264,13.243801652892563,1694.0,195.0,True,North,2,477700,258574.08,28
Oudomxay,2023-Q4,2023,4,36.53578256880734,36.923022018348625,14.522018348623853,1090.0,168.0,True,North,3,360800,258574.08,23
Phongsaly,2023-Q4,2023,4,34.842359296482414,32.153643216080404,13.633165829145728,398.0,79.0,True,North,4,197600,258574.08,12
Salavan,2023-Q4,2023,4,29.22970880361174,30.295661399548532,17.187358916478555,443.0,141.0,True,South,1,464800,258574.08,43
Savannakhet,2023-Q4,2023,4,36.5427389380531,32.50103097345133,14.00929203539823,2260.0,329.0,True,South,1,1117500,258574.08,51
Vientiane,2023-Q4,2023,4,42.40152068126521,39.452935928629365,7.413625304136253,1233.0,229.0,True,Central,2,479400,258574.08,31
Vientiane Capital,2023-Q4,2023,4,44.70868945384672,41.76332000591235,6.789224743182322,13531.0,888.0,True,Central,1,1009300,258574.08,257
Xaignabouli,2023-Q4,2023,4,43.263170702179174,41.16329176755448,12.703389830508474,826.0,201.0,True,North,2,439400,258574.08,27
Xaisomboun,2023-Q4,2023,4,46.54086928104575,44.41345424836601,15.928104575163399,306.0,73.0,True,Central,4,116800,258574.08,14
Xekong,2023-Q4,2023,4,37.87676662777129,35.636743290548424,22.655775962660442,857.0,79.0,True,South,4,136700,258574.08,18
Xiangkhouang,2023-Q4,2023,4,30.993429256594727,34.944781774580335,12.508393285371703,417.0,102.0,True,North,3,274400,258574.08,19
Attapeu,2024-Q1,2024,1,59.533074450084605,51.663879864636215,18.854483925549914,591.0,116.0,True,South,4,167000,258574.08,16
Bokeo,2024-Q1,2024,1,47.372278074866315,37.04813101604278,19.66176470588235,748.0,130.0,True,North,1,213300,258574.08,34
Bolikhamsai,2024-Q1,2024,1,35.16516370106761,33.151572953736654,11.53914590747331,562.0,141.0,True,Central,3,330700,258574.08,22
Champasak,2024-Q1,2024,1,39.467103676470586,29.290138970588234,17.683088235294118,1360.0,278.0,True,South,1,781200,258574.08,51
Houaphan,2024-Q1,2024,1,34.10602873563219,33.29588314176245,16.413793103448278,522.0,123.0,True,North,3,317100,258574.08,19
Khammouane,2024-Q1,2024,1,46.37642236024845,43.040228778467906,13.953416149068323,966.0,233.0,True,Central,2,451300,258574.08,28
Luang Namtha,2024-Q1,2024,1,35.141860273972604,29.494915068493153,18.734246575342464,365.0,88.0,True,North,3,208900,258574.08,22
Luang Prabang,2024-Q1,2024,1,38.60854667998003,38.57178931602596,13.227658512231653,2003.0,213.0,True,North,2,477700,258574.08,28
Oudomxay,2024-Q1,2024,1,33.38634931506849,31.408334474885844,15.92579908675799,876.0,150.0,True,North,3,360800,258574.08,23
Phongsaly,2024-Q1,2024,1,42.17955592105263,38.84761842105264,13.631578947368421,304.0,75.0,True,North,4,197600,258574.08,12
Salavan,2024-Q1,2024,1,30.9168359375,26.92049609375,16.017578125,512.0,140.0,True,South,1,464800,258574.08,43
Savannakhet,2024-Q1,2024,1,35.524278354632585,31.313981629392973,13.876198083067093,2504.0,346.0,True,South,1,1117500,258574.08,51
Vientiane,2024-Q1,2024,1,46.10996030451332,40.05073463839043,10.067427949972812,1839.0,246.0,True,Central,2,479400,258574.08,31
Vientiane Capital,2024-Q1,2024,1,46.452027710843375,42.73284235890932,8.230881420418516,15770.0,977.0,True,Central,1,1009300,258574.08,257
Xaignabouli,2024-Q1,2024,1,48.53138212927757,45.809213878327,14.870722433460076,1052.0,207.0,True,North,2,439400,258574.08,27
Xaisomboun,2024-Q1,2024,1,37.58170689655172,34.80472844827586,21.150862068965516,232.0,80.0,True,Central,4,116800,258574.08,14
Xekong,2024-Q1,2024,1,51.104929670329675,38.60885054945055,20.562637362637364,455.0,74.0,True,South,4,136700,258574.08,18
Xiangkhouang,2024-Q1,2024,1,32.1467515625,34.04410625,11.6734375,640.0,139.0,True,North,3,274400,258574.08,19
Attapeu,2024-Q2,2024,2,83.37087207207207,65.54735855855856,23.445045045045045,555.0,117.0,True,South,4,167000,258574.08,16
Bokeo,2024-Q2,2024,2,50.103228128460685,37.13087596899224,31.547065337763012,903.0,141.0,True,North,1,213300,258574.08,34
Bolikhamsai,2024-Q2,2024,2,38.73565496183206,35.58099236641221,13.609160305343512,655.0,156.0,True,Central,3,330700,258574.08,22
Champasak,2024-Q2,2024,2,41.95670517560074,32.36451109057302,20.378927911275415,1082.0,231.0,True,South,1,781200,258574.08,51
Houaphan,2024-Q2,2024,2,39.62912033195021,37.09440248962655,25.058091286307054,482.0,108.0,True,North,3,317100,258574.08,19
Khammouane,2024-Q2,2024,2,53.26476157635468,53.05048374384236,12.595073891625615,1015.0,194.0,True,Central,2,451300,258574.08,28
Luang Namtha,2024-Q2,2024,2,44.476635036496354,34.91168978102189,29.32116788321168,274.0,74.0,True,North,3,208900,258574.08,22
Luang Prabang,2024-Q2,2024,2,46.76501196340605,46.7695369458128,13.936664320900775,1421.0,192.0,True,North,2,477700,258574.08,28
Oudomxay,2024-Q2,2024,2,35.45385365853659,35.049546747967476,17.1260162601626,984.0,155.0,True,North,3,360800,258574.08,23
Phongsaly,2024-Q2,2024,2,38.87315137614679,40.30128899082569,15.444954128440367,218.0,68.0,True,North,4,197600,258574.08,12
Salavan,2024-Q2,2024,2,26.352873355263156,26.08136019736842,25.15296052631579,608.0,161.0,True,South,1,464800,258574.08,43
Savannakhet,2024-Q2,2024,2,34.66218238761975,33.30995799557848,19.12306558585114,2714.0,348.0,True,South,1,1117500,258574.08,51
Vientiane,2024-Q2,2024,2,42.11602852737086,36.55523361603701,10.64456437933693,1297.0,235.0,True,Central,2,479400,258574.08,31
Vientiane Capital,2024-Q2,2024,2,52.360220143884895,43.73272517985611,9.12332134292566,16680.0,956.0,True,Central,1,1009300,258574.08,257
