province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Johor,2023-Q1,2023,1,137.5408637793058,58.244602995705336,11.37171152988665,170444.0,5020.0,True,Southern,3,4186300,771125.44,218
Kedah,2023-Q1,2023,1,128.45232879859364,53.79424080067122,11.09986415757721,50058.0,2840.0,True,Northern,4,2217500,498386.88,233
Kelantan,2023-Q1,2023,1,114.21723031693077,50.28452981651377,15.56000834028357,23980.0,2170.0,True,East Coast,4,1888500,329456.96,125
Kuala Lumpur,2023-Q1,2023,1,162.30684025525127,93.65429895713315,6.664350497799049,169245.0,640.0,True,Central,1,2067500,2352939.2,8508
Labuan,2023-Q1,2023,1,122.20550919982884,47.22630637569534,22.961489088575096,2337.0,153.0,True,Borneo / East Malaysia,1,100800,1719758.4,1108
Malacca,2023-Q1,2023,1,117.73719658616498,52.25720911060614,9.110976060878297,37846.0,1471.0,True,Southern,2,1047100,943118.72,629
Negeri Sembilan,2023-Q1,2023,1,127.00510767251156,52.77542842187909,9.771089592602285,45852.0,1859.0,True,Central,2,1240100,940668.16,185
Pahang,2023-Q1,2023,1,116.0948702722929,48.38697541880145,11.973663001554314,34742.0,2137.0,True,East Coast,3,1668200,873358.72,46
Penang,2023-Q1,2023,1,147.15638063885206,83.24560125485336,8.129861830575432,103279.0,1570.0,True,Northern,2,1800400,1261809.92,1718
Perak,2023-Q1,2023,1,120.5582328096456,51.65462307636098,10.037077091706248,68425.0,3428.0,True,Northern,3,2569600,725960.64,122
Perlis,2023-Q1,2023,1,117.19374661872966,50.725325800376645,12.014894709809964,5841.0,534.0,True,Northern,4,296800,454710.08,362
Putrajaya,2023-Q1,2023,1,118.06971553884712,50.6369984683932,9.083263714842662,7182.0,98.0,True,Central,1,120300,2352939.2,2455
Sabah,2023-Q1,2023,1,133.98904167087687,54.320008811106845,23.966230826748582,49483.0,2692.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2023-Q1,2023,1,128.63997111093465,50.7587855475264,24.769093941078378,62965.0,2734.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2023-Q1,2023,1,154.99304871658813,73.78121566115527,6.739370028041678,450401.0,6116.0,True,Central,2,7363400,1097869.12,909
