province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Bantey Meanchey,2023-Q1,2023,1,23.285257304643263,11.279264326160815,36.375084937712344,4415.0,570.0,True,Northwest,1,898484,199216.96,135
Battambang,2023-Q1,2023,1,24.99970670758439,15.03874791758001,40.22402455063568,2281.0,492.0,True,Northwest,2,1132017,199216.96,97
Kampong Cham,2023-Q1,2023,1,23.642644640234952,15.213395741556536,29.7856093979442,1362.0,400.0,True,East,4,1062914,199216.96,234
Kampong Chhnang,2023-Q1,2023,1,20.838515974440895,14.320819488817891,26.67252396166134,626.0,264.0,True,Center,1,604895,199216.96,110
Kampong Speu,2023-Q1,2023,1,18.8932948173322,12.923457943925234,33.73152081563296,1177.0,373.0,True,Southwest,4,924175,199216.96,132
Kampong Thom,2023-Q1,2023,1,24.08690944123314,17.113014450867052,33.5009633911368,1038.0,260.0,True,Center,3,807254,199216.96,58
Kampot,2023-Q1,2023,1,24.130673776662483,13.791198243412799,30.102258469259723,1594.0,393.0,True,Southwest,2,682987,199216.96,140
Kandal,2023-Q1,2023,1,22.66081885948565,12.075331718225867,28.28065598210958,2683.0,688.0,True,Center,2,1352198,199216.96,425
Koh Kong,2023-Q1,2023,1,25.19204606240713,16.136365527488856,29.2407132243685,673.0,145.0,True,Southwest,3,140962,199216.96,14
Kratie,2023-Q1,2023,1,25.42188019169329,17.31214696485623,29.396166134185304,626.0,161.0,True,East,3,441078,199216.96,40
Mondulkiri,2023-Q1,2023,1,19.687587548638135,17.649447470817123,32.778210116731515,257.0,93.0,True,East,4,93657,199216.96,7
Oddar Meanchey,2023-Q1,2023,1,26.43421753794266,15.194521079258012,36.36256323777403,593.0,151.0,True,North,1,267703,199216.96,43
Pailin,2023-Q1,2023,1,29.907651851851853,10.924081481481482,40.7037037037037,540.0,49.0,True,West,2,79445,199216.96,99
Phnom Penh,2023-Q1,2023,1,29.150162598519227,12.711634869835205,25.668832099355146,20935.0,986.0,True,Capital,1,2352851,199216.96,3465
Preah Sihanouk,2023-Q1,2023,1,26.743693389592124,15.400976090014064,31.072667604313175,2133.0,267.0,True,South,2,234702,199216.96,121
Preah Vihear,2023-Q1,2023,1,25.67602538071066,16.904543147208123,31.16243654822335,394.0,127.0,True,North,3,249973,199216.96,18
Prey Veng,2023-Q1,2023,1,18.062787795992712,14.443283242258653,32.84335154826958,1098.0,321.0,True,East,1,1277867,199216.96,262
Pursat,2023-Q1,2023,1,25.296685114503816,15.997979961832062,32.63931297709924,1048.0,230.0,True,West,4,516072,199216.96,41
Ratanakiri Province,2023-Q1,2023,1,30.087779625779625,21.563569646569647,26.374220374220375,481.0,153.0,True,Northeast,4,235852,199216.96,22
Siem Reap,2023-Q1,2023,1,29.77250728013978,15.86695195107746,35.30401863715783,3434.0,515.0,True,Northwest,1,1099825,199216.96,107
Stung Treng,2023-Q1,2023,1,12.895907142857142,15.463578571428572,31.610714285714284,560.0,150.0,True,Northeast,3,176488,199216.96,16
Svay Rieng,2023-Q1,2023,1,21.577149611856036,13.40840719830628,44.151023288637965,1417.0,262.0,True,Southeast,2,613159,199216.96,207
Takeo,2023-Q1,2023,1,21.575914619883044,13.387527485380117,32.19298245614035,855.0,356.0,True,South,1,1097243,199216.96,308
Tbong Khmum,2023-Q1,2023,1,25.560757704569607,16.35950797024442,30.689691817215728,941.0,314.0,True,East,4,889970,199216.96,170
Bantey Meanchey,2023-Q2,2023,2,24.608226684819606,9.255422736555479,40.405377808032675,2938.0,350.0,True,Northwest,1,898484,199216.96,135
Battambang,2023-Q2,2023,2,26.964207648183557,15.275864627151051,46.64321223709369,2615.0,493.0,True,Northwest,2,1132017,199216.96,97
Kampong Cham,2023-Q2,2023,2,24.441434303697875,14.851911093627065,28.09598741148702,1271.0,379.0,True,East,4,1062914,199216.96,234
Kampong Chhnang,2023-Q2,2023,2,23.779011128775835,15.836648648648648,27.75039745627981,629.0,238.0,True,Center,1,604895,199216.96,110
Kampong Speu,2023-Q2,2023,2,19.28092177419355,13.659,31.782258064516128,1240.0,387.0,True,Southwest,4,924175,199216.96,132
Kampong Thom,2023-Q2,2023,2,24.27095918367347,16.1106,38.15714285714286,980.0,283.0,True,Center,3,807254,199216.96,58
Kampot,2023-Q2,2023,2,22.23160736196319,14.079718473074301,27.860259032038172,1467.0,356.0,True,Southwest,2,682987,199216.96,140
Kandal,2023-Q2,2023,2,24.41774978025198,14.809491063580428,27.64371520656314,3413.0,728.0,True,Center,2,1352198,199216.96,425
Kep,2023-Q2,2023,2,30.41758,18.58002,34.58,100.0,41.0,True,South,2,48772,199216.96,145
Koh Kong,2023-Q2,2023,2,23.426396261682243,13.958465420560747,38.555140186915885,535.0,109.0,True,Southwest,3,140962,199216.96,14
Kratie,2023-Q2,2023,2,26.727909598214286,18.38116964285714,32.675223214285715,896.0,204.0,True,East,3,441078,199216.96,40
Mondulkiri,2023-Q2,2023,2,29.160599221789884,19.455953307392996,34.54669260700389,514.0,112.0,True,East,4,93657,199216.96,7
Oddar Meanchey,2023-Q2,2023,2,27.795890829694322,15.607335152838429,39.27401746724891,916.0,139.0,True,North,1,267703,199216.96,43
Pailin,2023-Q2,2023,2,31.328703370786517,10.691330337078652,44.95730337078652,445.0,56.0,True,West,2,79445,199216.96,99
Phnom Penh,2023-Q2,2023,2,30.68722950819672,13.1816560136888,25.159242700226308,18117.0,990.0,True,Capital,1,2352851,199216.96,3465
Preah Sihanouk,2023-Q2,2023,2,27.061628999594976,14.80392061563386,29.93843661401377,2469.0,283.0,True,South,2,234702,199216.96,121
Preah Vihear,2023-Q2,2023,2,19.733862770012706,15.649878017789073,27.969504447268108,787.0,205.0,True,North,3,249973,199216.96,18
Prey Veng,2023-Q2,2023,2,19.8264778012685,15.90479175475687,35.43128964059196,946.0,283.0,True,East,1,1277867,199216.96,262
Pursat,2023-Q2,2023,2,28.820753684210526,18.481449122807017,30.85684210526316,1425.0,245.0,True,West,4,516072,199216.96,41
Ratanakiri Province,2023-Q2,2023,2,31.05584615384615,18.73740631163708,33.69230769230769,507.0,138.0,True,Northeast,4,235852,199216.96,22
Siem Reap,2023-Q2,2023,2,29.289985419198057,15.698192891859053,33.547387606318345,3292.0,537.0,True,Northwest,1,1099825,199216.96,107
Stung Treng,2023-Q2,2023,2,22.522729974160207,16.490166666666667,27.13049095607235,774.0,150.0,True,Northeast,3,176488,199216.96,16
Svay Rieng,2023-Q2,2023,2,20.09642699724518,13.305522727272727,43.6935261707989,1452.0,330.0,True,Southeast,2,613159,199216.96,207
Takeo,2023-Q2,2023,2,23.04300872410033,13.721290076335878,33.06979280261723,917.0,357.0,True,South,1,1097243,199216.96,308
Tbong Khmum,2023-Q2,2023,2,27.716945301542776,16.417190743338008,43.11781206171108,713.0,263.0,True,East,4,889970,199216.96,170
Bantey Meanchey,2023-Q3,2023,3,29.862392156862743,11.852428104575162,40.14133986928105,2448.0,302.0,True,Northwest,1,898484,199216.96,135
Battambang,2023-Q3,2023,3,27.556362233318204,15.744144348615524,40.33091239219247,2203.0,507.0,True,Northwest,2,1132017,199216.96,97
Kampong Cham,2023-Q3,2023,3,23.50924132231405,15.970246280991736,33.8900826446281,1210.0,338.0,True,East,4,1062914,199216.96,234
Kampong Chhnang,2023-Q3,2023,3,23.320605145413868,16.66525279642058,25.662192393736017,894.0,299.0,True,Center,1,604895,199216.96,110
Kampong Speu,2023-Q3,2023,3,24.436356435643564,16.418106789250352,27.555162659123056,1414.0,390.0,True,Southwest,4,924175,199216.96,132
Kampong Thom,2023-Q3,2023,3,25.178377334993773,18.676880448318805,31.224159402241593,803.0,260.0,True,Center,3,807254,199216.96,58
Kampot,2023-Q3,2023,3,22.42370512820513,14.526087481146305,35.07692307692308,1326.0,316.0,True,Southwest,2,682987,199216.96,140
Kandal,2023-Q3,2023,3,25.10861109350238,14.490619651347068,38.03232963549921,3155.0,713.0,True,Center,2,1352198,199216.96,425
