province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Aceh,2023-Q1,2023,1,29.848491219538552,12.777938779921111,46.37661425406603,18507.0,3078.0,True,Sumatra,4,5626000,233536.0,99
Bali,2023-Q1,2023,1,34.33095915718757,19.04816728376212,35.3549316741736,52396.0,3447.0,True,Lesser Sunda Islands,3,4461300,339360.0,799
Bangka Belitung,2023-Q1,2023,1,32.59712710072343,21.747352698942684,45.210907067334446,8985.0,1281.0,True,Sumatra,2,1550800,392960.0,93
Banten,2023-Q1,2023,1,27.4366904400034,15.335400902474252,27.408048635432497,105931.0,5258.0,True,Java,2,12537400,371936.0,1340
Bengkulu,2023-Q1,2023,1,29.936388106011638,20.655620814479636,42.429217840982545,7735.0,1086.0,True,Sumatra,4,2138000,263712.0,106
Central Java,2023-Q1,2023,1,23.092656245914334,14.419401164603302,37.69136001126387,198866.0,22757.0,True,Java,4,38233900,260512.0,1113
Central Kalimantan,2023-Q1,2023,1,23.042222676158886,11.806100962705283,55.2459752447213,24722.0,3173.0,True,Kalimantan,1,2845000,423776.0,19
Central Sulawesi,2023-Q1,2023,1,20.9865900621118,14.858159084550389,70.10726875944268,17871.0,2548.0,True,Sulawesi,1,3156100,541024.0,51
East Java,2023-Q1,2023,1,28.320793255051242,15.73200874578244,32.728066725915674,254294.0,23499.0,True,Java,2,42089300,404416.0,876
East Kalimantan,2023-Q1,2023,1,25.871825037360615,13.133881503621105,50.61269111392114,43495.0,4142.0,True,Kalimantan,1,4267600,1229536.0,34
East Nusa Tenggara,2023-Q1,2023,1,19.730175453948807,14.462349704659811,100.65565521767665,9142.0,1654.0,True,Lesser Sunda Islands,4,5742600,138592.0,124
Gorontalo,2023-Q1,2023,1,27.364683430870517,14.31614978054133,89.78657644476957,5468.0,829.0,True,Sulawesi,4,1242200,250400.0,103
Jakarta,2023-Q1,2023,1,31.2853492007143,16.226364056885906,24.842654747305236,185916.0,1732.0,True,Java,1,10678000,1850432.0,16141
Jambi,2023-Q1,2023,1,26.943647678754797,19.89511689996217,38.0706912392585,18503.0,2614.0,True,Sumatra,1,3768500,439136.0,77
Lampung,2023-Q1,2023,1,23.342169378052333,14.835741000679194,44.03832594844594,30919.0,5449.0,True,Sumatra,3,9522900,275840.0,284
Maluku,2023-Q1,2023,1,17.093007715772472,9.41308236138525,378.298044141396,5573.0,984.0,True,Maluku Islands,4,1970600,175616.0,43
North Kalimantan,2023-Q1,2023,1,24.09451326682233,10.75717554659308,95.121630227128,4711.0,662.0,True,Kalimantan,1,749400,1044576.0,11
North Maluku,2023-Q1,2023,1,19.38063142613151,11.071407344150298,117.78172502134927,5855.0,771.0,True,Maluku Islands,3,1373800,271520.0,44
North Sulawesi,2023-Q1,2023,1,25.344636212348146,14.340719088034616,61.45037998557719,18027.0,1940.0,True,Sulawesi,2,2721400,364032.0,188
North Sumatra,2023-Q1,2023,1,26.947657080658356,15.154520154189605,39.84845879726563,72119.0,8568.0,True,Sumatra,2,15785800,387744.0,218
Papua,2023-Q1,2023,1,23.705117106105583,11.570865025318666,154.54729061172225,17181.0,1654.0,True,Western New Guinea,2,4600500,363936.0,15
Riau,2023-Q1,2023,1,24.680910350339683,13.693878913014519,41.28709870787265,30028.0,5251.0,True,Sumatra,1,6811200,874688.0,76
