province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Attapeu,2023-Q1,2023,1,33.85178766588603,17.082567915690866,37.5655737704918,2562.0,252.0,True,South,4,167000,258574.08,16
Bokeo,2023-Q1,2023,1,34.678865828571425,18.944449371428572,38.574171428571425,4375.0,316.0,True,North,1,213300,258574.08,34
Bolikhamsai,2023-Q1,2023,1,35.435439537896784,19.42515299071475,31.13172101058087,9262.0,700.0,True,Central,3,330700,258574.08,22
Champasak,2023-Q1,2023,1,29.588701994916427,15.791063390587691,35.841562042671185,12983.0,1194.0,True,South,1,781200,258574.08,51
Houaphan,2023-Q1,2023,1,34.74359581670898,18.029178938459676,45.80195865070729,8271.0,499.0,True,North,3,317100,258574.08,19
Khammouane,2023-Q1,2023,1,30.495013847080074,18.32633714629741,28.823600240818784,4983.0,840.0,True,Central,2,451300,258574.08,28
Luang Namtha,2023-Q1,2023,1,40.91508504398827,21.40140395894428,32.193548387096776,4092.0,306.0,True,North,3,208900,258574.08,22
Luang Prabang,2023-Q1,2023,1,37.49958692652639,19.353413418420146,34.511900655398414,5798.0,599.0,True,North,2,477700,258574.08,28
Oudomxay,2023-Q1,2023,1,40.80584613717629,21.5744236645357,32.13750135442626,9229.0,532.0,True,North,3,360800,258574.08,23
Phongsaly,2023-Q1,2023,1,32.55361114775726,19.764006926121372,35.25362796833773,6064.0,348.0,True,North,4,197600,258574.08,12
Salavan,2023-Q1,2023,1,29.186544961642728,15.92269198823326,38.538501470842704,17337.0,857.0,True,South,1,464800,258574.08,43
Savannakhet,2023-Q1,2023,1,28.88402599684887,14.557791055629622,37.102896618591686,16502.0,1432.0,True,South,1,1117500,258574.08,51
Vientiane,2023-Q1,2023,1,40.872126095850376,19.407227498538866,25.397574517825834,6844.0,784.0,True,Central,2,479400,258574.08,31
Vientiane Capital,2023-Q1,2023,1,34.17397670178282,16.28574858184765,36.57131280388979,9872.0,1098.0,True,Central,1,1009300,258574.08,257
Xaignabouli,2023-Q1,2023,1,31.411275108412834,18.089986816999133,34.42515177797051,5765.0,570.0,True,North,2,439400,258574.08,27
Xaisomboun,2023-Q1,2023,1,42.448915213946115,19.012776545166403,28.095879556259906,2524.0,190.0,True,Central,4,116800,258574.08,14
Xekong,2023-Q1,2023,1,32.952473204104905,17.80375741163056,37.24116305587229,3508.0,263.0,True,South,4,136700,258574.08,18
Xiangkhouang,2023-Q1,2023,1,30.95729246538871,18.269004126730565,32.339190628328005,7512.0,418.0,True,North,3,274400,258574.08,19
Attapeu,2023-Q2,2023,2,28.697370911621434,15.573251913709116,38.55462769659012,1437.0,142.0,True,South,4,167000,258574.08,16
Bokeo,2023-Q2,2023,2,33.710372436814495,16.540090367191222,33.53862660944206,4194.0,264.0,True,North,1,213300,258574.08,34
Bolikhamsai,2023-Q2,2023,2,32.32860065717415,19.291475575027384,31.52486308871851,4565.0,383.0,True,Central,3,330700,258574.08,22
Champasak,2023-Q2,2023,2,29.847678233438483,15.887463154574132,34.30347003154574,15850.0,1110.0,True,South,1,781200,258574.08,51
Houaphan,2023-Q2,2023,2,32.1390257463276,16.754209603538147,42.58521560574949,6331.0,402.0,True,North,3,317100,258574.08,19
Khammouane,2023-Q2,2023,2,28.996638711327027,17.28688315008949,28.130657120940935,3911.0,632.0,True,Central,2,451300,258574.08,28
