province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Johor,2023-Q1,2023,1,135.9338563757461,23.74531266084365,29.802677974695214,130173.0,6629.0,True,Southern,3,4186300,771125.44,218
Kedah,2023-Q1,2023,1,109.49553095722672,20.049874203152072,32.3655492573966,59453.0,4421.0,True,Northern,4,2217500,498386.88,233
Kelantan,2023-Q1,2023,1,85.11453721490149,16.0552824966992,35.18981541408859,38627.0,3480.0,True,East Coast,4,1888500,329456.96,125
Kuala Lumpur,2023-Q1,2023,1,215.03311626535427,36.632021068901,22.281918571544782,98344.0,635.0,True,Central,1,2067500,2352939.2,8508
Labuan,2023-Q1,2023,1,61.42844410177332,15.877618350038551,40.94641480339244,2594.0,151.0,True,Borneo / East Malaysia,1,100800,1719758.4,1108
Malacca,2023-Q1,2023,1,120.18681315832119,20.832185415653864,30.452665694376925,30855.0,1690.0,True,Southern,2,1047100,943118.72,629
Negeri Sembilan,2023-Q1,2023,1,128.50476538039683,22.14029791105793,27.00466148170306,40116.0,2554.0,True,Central,2,1240100,940668.16,185
Pahang,2023-Q1,2023,1,110.62309627285653,20.34041963910196,32.10125973843905,49931.0,4071.0,True,East Coast,3,1668200,873358.72,46
Penang,2023-Q1,2023,1,150.61017688393167,25.577819365632624,29.51935866155455,71725.0,1681.0,True,Northern,2,1800400,1261809.92,1718
Perak,2023-Q1,2023,1,124.13679078496085,20.587603714489095,30.59534071054164,77265.0,5011.0,True,Northern,3,2569600,725960.64,122
Perlis,2023-Q1,2023,1,78.52652523380235,15.691571067486729,32.88575280141545,11869.0,761.0,True,Northern,4,296800,454710.08,362
Putrajaya,2023-Q1,2023,1,227.49175694206377,40.39493509313221,21.795566221003313,8751.0,118.0,True,Central,1,120300,2352939.2,2455
Sabah,2023-Q1,2023,1,120.05125188593608,23.156626255986478,47.049503865777695,63894.0,4581.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2023-Q1,2023,1,127.0442295284678,23.772307045504505,47.818188063310615,72784.0,4525.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2023-Q1,2023,1,163.68531947271654,26.693271784096133,22.79422073018583,243664.0,7033.0,True,Central,2,7363400,1097869.12,909
Terengganu,2023-Q1,2023,1,97.5565719441694,18.834009038934493,35.55814621993676,31309.0,2670.0,True,East Coast,3,1232100,653312.32,95
Johor,2023-Q2,2023,2,144.55042821786537,23.25730698092269,31.287683418767283,113538.0,6715.0,True,Southern,3,4186300,771125.44,218
Kedah,2023-Q2,2023,2,131.14164184200493,21.176552185517696,32.11088772574439,57698.0,4547.0,True,Northern,4,2217500,498386.88,233
Kelantan,2023-Q2,2023,2,94.88740230575894,16.794261364878157,36.18511638072342,36604.0,3571.0,True,East Coast,4,1888500,329456.96,125
Kuala Lumpur,2023-Q2,2023,2,211.49537154526726,36.92080317698472,22.020826635230236,83979.0,637.0,True,Central,1,2067500,2352939.2,8508
Labuan,2023-Q2,2023,2,98.17487523809524,18.115177619047618,40.98047619047619,2100.0,164.0,True,Borneo / East Malaysia,1,100800,1719758.4,1108
Malacca,2023-Q2,2023,2,127.26123814765889,21.203643218846324,30.2703654777631,27252.0,1694.0,True,Southern,2,1047100,943118.72,629
Negeri Sembilan,2023-Q2,2023,2,122.24411981767373,22.66329142425214,27.253790828714095,43658.0,2725.0,True,Central,2,1240100,940668.16,185
Pahang,2023-Q2,2023,2,127.22851746378792,24.259589013391636,31.500810786189305,54885.0,4231.0,True,East Coast,3,1668200,873358.72,46
