province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Ayeyarwady,2023-Q1,2023,1,25.374630466686234,17.67627795714705,52.694159084238336,3407.0,1167.0,True,Lower Myanmar / Delta-Coastal,1,6184829,165710.4,177
Bago,2023-Q1,2023,1,24.787642264150943,16.21778188679245,51.31283018867924,2650.0,1016.0,True,Lower Myanmar / Delta-Coastal,2,4867373,165710.4,124
Chin,2023-Q1,2023,1,22.385921985815603,11.584375886524821,60.02127659574468,141.0,31.0,True,Northern / Western Highlands,4,478801,165710.4,13
Kachin,2023-Q1,2023,1,27.79827234401349,12.379974704890389,90.6981450252951,1186.0,431.0,True,Northern / Western Highlands,4,1689441,165710.4,19
Kayah,2023-Q1,2023,1,26.88798224852071,16.78749704142012,61.39349112426036,338.0,59.0,True,Eastern Highlands,4,286627,165710.4,24
Kayin,2023-Q1,2023,1,21.323995683453237,13.273118465227817,50.1673860911271,2085.0,385.0,True,Lower Myanmar / Delta-Coastal,3,1574079,165710.4,52
Magway,2023-Q1,2023,1,24.14746551724138,11.752848806366048,69.026525198939,1508.0,564.0,True,Central Dry Zone,2,3917055,165710.4,87
Mandalay,2023-Q1,2023,1,31.5228757177255,15.558407853306168,49.03445082422671,5399.0,1918.0,True,Central Dry Zone,1,7325965,165710.4,163
Mon,2023-Q1,2023,1,28.536843007915564,16.262769569041335,44.968777484608616,2274.0,634.0,True,Lower Myanmar / Delta-Coastal,1,2054393,165710.4,167
Rakhine,2023-Q1,2023,1,21.72948736756316,10.437187449062755,63.34718826405868,1227.0,377.0,True,Northern / Western Highlands,2,3188807,165710.4,87
Saigang,2023-Q1,2023,1,23.999353858784893,12.801862068965518,83.74137931034483,1218.0,366.0,True,Central Dry Zone,3,5325347,165710.4,57
Shan,2023-Q1,2023,1,26.188194500458295,14.031667277726855,56.869660861594866,5455.0,1135.0,True,Eastern Highlands,3,5824432,165710.4,37
Tanitharyi,2023-Q1,2023,1,30.057988721804513,17.657974436090225,56.31428571428572,1330.0,374.0,True,Lower Myanmar / Delta-Coastal,4,1408401,165710.4,32
Yangon,2023-Q1,2023,1,36.53499604200323,22.533974717285947,39.96348949919224,12380.0,1598.0,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Ayeyarwady,2023-Q2,2023,2,22.027670944741534,16.161289483065953,55.8934046345811,2805.0,932.0,True,Lower Myanmar / Delta-Coastal,1,6184829,165710.4,177
Bago,2023-Q2,2023,2,23.063893243243246,15.630212162162163,50.73018018018018,2220.0,818.0,True,Lower Myanmar / Delta-Coastal,2,4867373,165710.4,124
Chin,2023-Q2,2023,2,10.5095,10.711482558139535,80.88372093023256,172.0,19.0,True,Northern / Western Highlands,4,478801,165710.4,13
Kachin,2023-Q2,2023,2,25.56084473049075,12.28687449718423,87.31777956556718,1243.0,404.0,True,Northern / Western Highlands,4,1689441,165710.4,19
Kayah,2023-Q2,2023,2,23.12787242798354,15.005827160493828,82.52263374485597,243.0,63.0,True,Eastern Highlands,4,286627,165710.4,24
Kayin,2023-Q2,2023,2,17.36713182238668,11.589615171137835,48.63274745605921,2162.0,362.0,True,Lower Myanmar / Delta-Coastal,3,1574079,165710.4,52
Magway,2023-Q2,2023,2,23.01744575273339,10.547354920100924,64.7905803195963,1189.0,421.0,True,Central Dry Zone,2,3917055,165710.4,87
Mandalay,2023-Q2,2023,2,29.24175680272109,14.313796343537415,50.89243197278912,4704.0,1802.0,True,Central Dry Zone,1,7325965,165710.4,163
Mon,2023-Q2,2023,2,26.089703575547865,15.990868512110726,45.4123414071511,1734.0,571.0,True,Lower Myanmar / Delta-Coastal,1,2054393,165710.4,167
Rakhine,2023-Q2,2023,2,18.27023707957342,9.511577522559476,74.31911402789171,1219.0,311.0,True,Northern / Western Highlands,2,3188807,165710.4,87
Saigang,2023-Q2,2023,2,19.26756054131054,10.781986467236468,75.24358974358974,1404.0,336.0,True,Central Dry Zone,3,5325347,165710.4,57
Shan,2023-Q2,2023,2,23.115151909722222,13.627783420138888,58.521701388888886,4608.0,1078.0,True,Eastern Highlands,3,5824432,165710.4,37
Tanitharyi,2023-Q2,2023,2,31.88505359056806,16.275003215434083,61.058949624866024,933.0,263.0,True,Lower Myanmar / Delta-Coastal,4,1408401,165710.4,32
Yangon,2023-Q2,2023,2,34.31039256535948,21.26832771650327,38.21374591503268,9792.0,1463.0,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Ayeyarwady,2023-Q3,2023,3,22.460420766881576,16.13265117068205,47.29080420766881,2947.0,933.0,True,Lower Myanmar / Delta-Coastal,1,6184829,165710.4,177
Bago,2023-Q3,2023,3,24.371832292595897,15.020943800178413,49.63871543264942,2242.0,884.0,True,Lower Myanmar / Delta-Coastal,2,4867373,165710.4,124
Chin,2023-Q3,2023,3,18.865669811320753,14.138603773584906,73.99056603773585,106.0,17.0,True,Northern / Western Highlands,4,478801,165710.4,13
Kachin,2023-Q3,2023,3,18.94470720461095,11.564938904899137,84.87204610951008,1735.0,497.0,True,Northern / Western Highlands,4,1689441,165710.4,19
Kayah,2023-Q3,2023,3,22.481069565217393,15.326008695652174,43.791304347826085,230.0,54.0,True,Eastern Highlands,4,286627,165710.4,24
