province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
ARMM,2023-Q1,2023,1,14.821822585978836,7.024484126984127,54.088789682539684,6048.0,663.0,True,Mindanao,4,4545486,91028.33,330
Bicol Region,2023-Q1,2023,1,47.66062188310393,9.692320965489728,34.937163375224415,20052.0,2641.0,True,Luzon,4,6064426,142596.8,319
CAR,2023-Q1,2023,1,28.966910957642725,7.464564088397791,29.35220994475138,10860.0,1001.0,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2023-Q1,2023,1,33.65497833333333,9.807882592592593,38.65453703703704,10800.0,1912.0,True,Luzon,3,3777608,185618.02,122
Calabarzon,2023-Q1,2023,1,48.3993830111682,9.365603022085136,27.162783645390192,115417.0,7670.0,True,Luzon,2,16933234,259765.51,854
Caraga,2023-Q1,2023,1,37.25353578887412,9.577270647427378,46.68473514334536,10534.0,1233.0,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2023-Q1,2023,1,44.13744572372804,10.0488912608939,31.66477439300658,75042.0,7852.0,True,Luzon,2,12989074,263326.87,510
Central Visayas,2023-Q1,2023,1,55.5465438706312,11.353748943661973,31.387610850286908,76680.0,4035.0,True,Visayas,2,6640875,245591.3,647
Davao Region,2023-Q1,2023,1,61.03421766777024,11.840074071154554,42.74152609175469,38058.0,2554.0,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2023-Q1,2023,1,41.42389649946221,9.73396651021805,42.47575046445683,20454.0,2085.0,True,Visayas,4,4625929,147867.62,191
Ilocos Region,2023-Q1,2023,1,42.003232784229006,9.95470548204159,30.535889819065623,18515.0,3533.0,True,Luzon,3,5342453,193453.01,386
Mimaropa,2023-Q1,2023,1,41.10072603135611,10.110846470630735,40.75298027599162,13841.0,1972.0,True,Luzon,3,3245446,190888.83,100
NCR,2023-Q1,2023,1,81.66451735825379,13.217229725559578,22.973980620473995,194432.0,1618.0,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2023-Q1,2023,1,49.20344245524297,10.922977667153818,40.402676287906466,21896.0,2171.0,True,Mindanao,1,5178326,291746.51,229
Soccsksargen,2023-Q1,2023,1,40.12881747313068,9.80951340006458,43.54836477697311,21679.0,2098.0,True,Mindanao,4,4462776,175147.62,202
Western Visayas,2023-Q1,2023,1,51.01479098388993,10.630023623499044,37.43570951162737,43389.0,4352.0,True,Visayas,2,9766855,196943.14,372
Zamboanga Peninsula,2023-Q1,2023,1,36.49634141457871,9.370835056009524,48.322636506304455,18479.0,1479.0,True,Mindanao,4,5089934,179848.62,213
ARMM,2023-Q2,2023,2,17.14554026236125,6.873415338042381,52.92936427850656,4955.0,653.0,True,Mindanao,4,4545486,91028.33,330
Bicol Region,2023-Q2,2023,2,51.42937443749635,10.325439950908773,31.897901934428145,17111.0,2634.0,True,Luzon,4,6064426,142596.8,319
CAR,2023-Q2,2023,2,30.288886442641946,7.6651099845500195,29.364426419466977,10356.0,961.0,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2023-Q2,2023,2,35.18664353312303,10.154782612729633,38.68983113750232,10778.0,2087.0,True,Luzon,3,3777608,185618.02,122
Calabarzon,2023-Q2,2023,2,50.06070950335475,9.43262709893855,25.435034967517485,112676.0,7872.0,True,Luzon,2,16933234,259765.51,854
Caraga,2023-Q2,2023,2,40.18662770847012,10.108501547697214,39.747772254009945,10661.0,1213.0,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2023-Q2,2023,2,47.302124826170456,9.9693316469108,28.892987219389443,75505.0,7869.0,True,Luzon,2,12989074,263326.87,510
Central Visayas,2023-Q2,2023,2,61.930151182384996,12.09477294557097,30.703322473740382,71212.0,4259.0,True,Visayas,2,6640875,245591.3,647
Davao Region,2023-Q2,2023,2,70.408471217441,12.591108897417055,35.859775183038025,36741.0,2455.0,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2023-Q2,2023,2,39.594921188846214,9.34210997940669,42.36695052039851,17967.0,2022.0,True,Visayas,4,4625929,147867.62,191
Ilocos Region,2023-Q2,2023,2,44.09390964584539,9.8667948744935,31.294427195705943,19003.0,3697.0,True,Luzon,3,5342453,193453.01,386
Mimaropa,2023-Q2,2023,2,45.44495228992433,10.035824930306651,36.78191955396257,12555.0,1945.0,True,Luzon,3,3245446,190888.83,100
NCR,2023-Q2,2023,2,87.01443907683635,13.56326668302001,22.0427135416123,191602.0,1607.0,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2023-Q2,2023,2,48.73234564241552,11.431603752011519,34.177098331498264,23614.0,2259.0,True,Mindanao,1,5178326,291746.51,229
Soccsksargen,2023-Q2,2023,2,42.952612697013116,9.837753609610933,38.905433704397666,18146.0,2100.0,True,Mindanao,4,4462776,175147.62,202
Western Visayas,2023-Q2,2023,2,52.03836948935261,10.209882938062341,39.14452911710942,42123.0,4235.0,True,Visayas,2,9766855,196943.14,372
