province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Amnat Charoen,2023-Q1,2023,1,50.50578988326848,13.652506392440245,34.9905503057254,1799.0,406.0,True,Northeastern,4,372000,77048,113
Ang Thong,2023-Q1,2023,1,59.4173186440678,16.954608474576272,29.93220338983051,1770.0,420.0,True,Central,3,269000,142287,283
Bangkok Metropolis,2023-Q1,2023,1,98.8193386221312,24.89311983868113,22.848774094583092,237294.0,3642.0,True,Bangkok & Vicinity,1,5456000,593927,3488
Bueng Kan,2023-Q1,2023,1,46.25372893183038,14.867677402039721,33.14492753623188,1863.0,474.0,True,Northeastern,4,419000,80159,105
Buri Ram,2023-Q1,2023,1,62.020737437879625,16.459721010491442,29.466869133075647,7244.0,1670.0,True,Northeastern,4,1566000,80684,155
Chachoengsao,2023-Q1,2023,1,56.67352061264422,17.05959591120707,27.14533432292018,14821.0,1869.0,True,Eastern,2,733000,400385,142
Chai Nat,2023-Q1,2023,1,57.25273094736842,17.76110147368421,32.065684210526314,2375.0,561.0,True,Central,3,314000,135667,131
Chaiyaphum,2023-Q1,2023,1,58.028623221906116,16.6009283428165,31.807788051209105,5624.0,1368.0,True,Northeastern,4,1106000,73134,88
Chanthaburi,2023-Q1,2023,1,68.26832351421189,18.574749698535747,28.435142118863048,5805.0,1218.0,True,Eastern,2,536000,243317,83
Chiang Mai,2023-Q1,2023,1,78.70233203325465,21.957279003729173,34.59933627561668,29229.0,3222.0,True,Northern,2,1799000,133306,79
Chiang Rai,2023-Q1,2023,1,60.69216835016835,17.546257575757576,37.55144032921811,10692.0,1987.0,True,Northern,3,1298000,90203,112
Chon Buri,2023-Q1,2023,1,73.24863531726173,20.469825104833557,25.665015789746157,57949.0,3517.0,True,Eastern,1,1636000,524002,363
Chumphon,2023-Q1,2023,1,52.09564280155642,13.310242542153048,33.2189364461738,3855.0,857.0,True,Southern,2,508000,259853,84
Kalasin,2023-Q1,2023,1,57.40524961205941,18.32224007980492,32.3154511194857,4511.0,993.0,True,Northeastern,4,962000,77397,139
Kamphaeng Phet,2023-Q1,2023,1,51.994381465517236,15.290237068965519,31.048275862068966,4640.0,982.0,True,Northern,3,701000,141987,82
Kanchanaburi,2023-Q1,2023,1,49.45503736179946,16.36622061253018,31.289998729190494,7869.0,1700.0,True,Western,3,896000,127365,46
Khon Kaen,2023-Q1,2023,1,87.82768152734778,19.809987065703474,30.002270381836944,14535.0,2127.0,True,Northeastern,3,1772000,124489,166
Krabi,2023-Q1,2023,1,62.59393131712832,15.09883380440927,41.70576596947428,3538.0,733.0,True,Southern,2,484000,168552,91
Lampang,2023-Q1,2023,1,78.44804249341529,24.692824758560143,31.723441615452153,5695.0,1138.0,True,Northern,3,704000,104754,56
Lamphun,2023-Q1,2023,1,52.05775708596861,18.398432419770437,35.11501522604826,4269.0,727.0,True,Northern,2,397000,226464,89
Loei,2023-Q1,2023,1,90.44509677996422,21.943277996422182,30.772450805008944,5590.0,1046.0,True,Northeastern,4,632000,105205,60
Lop Buri,2023-Q1,2023,1,59.32547273765344,17.278626891236083,27.524407650585214,7006.0,1226.0,True,Central,3,725000,142287,111
Mae Hong Son,2023-Q1,2023,1,46.41025394235998,16.846816204458943,44.19847743338771,1839.0,398.0,True,Northern,4,288000,65653,23
Maha Sarakham,2023-Q1,2023,1,60.07331207985333,16.608071705031577,30.66164188225708,4909.0,965.0,True,Northeastern,4,930000,85228,165
Mukdahan,2023-Q1,2023,1,56.912947594501716,17.221835051546392,34.53221649484536,2328.0,443.0,True,Northeastern,4,351000,67203,85
Nakhon Nayok,2023-Q1,2023,1,54.904526401036605,15.255386459345644,27.13346290897311,3087.0,759.0,True,Eastern,3,260000,115666,121
Nakhon Pathom,2023-Q1,2023,1,66.95568654653172,18.977670402369785,25.862996790915822,20255.0,1887.0,True,Bangkok & Vicinity,2,926000,297901,432
