province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Central Region,2023-Q1,2023,1,139.37042272800255,21.460589274245343,30.8342164418754,24912.0,350.0,True,Central Region,2,975310,4241102.85,7304
East Region,2023-Q1,2023,1,143.17370707511174,21.94160699880083,32.95573967077292,9173.0,224.0,True,East Region,3,710690,4241102.85,6368
North Region,2023-Q1,2023,1,152.32258924278847,21.745043118990385,22.013671875,6656.0,193.0,True,North Region,4,599400,4241102.85,4456
North-East Region,2023-Q1,2023,1,169.8800153677278,24.455900658616905,19.890230515916574,9110.0,178.0,True,North-East Region,1,974650,4241102.85,8778
West Region,2023-Q1,2023,1,138.00950376448694,20.692404788088997,21.9631164876068,11821.0,425.0,True,West Region,4,944480,4241102.85,4020
Central Region,2023-Q2,2023,2,143.72644429908024,20.715620876942594,30.018751982239138,25224.0,351.0,True,Central Region,2,975310,4241102.85,7304
East Region,2023-Q2,2023,2,150.9242017379283,22.185783845166387,29.5198973042362,10127.0,232.0,True,East Region,3,710690,4241102.85,6368
North Region,2023-Q2,2023,2,156.37311817636473,21.790444361127776,21.843131373725257,6668.0,201.0,True,North Region,4,599400,4241102.85,4456
North-East Region,2023-Q2,2023,2,183.55769117968921,24.618402823374918,19.780914861019916,9138.0,165.0,True,North-East Region,1,974650,4241102.85,8778
West Region,2023-Q2,2023,2,164.4493715113619,23.136614076559404,21.153195058715877,13114.0,427.0,True,West Region,4,944480,4241102.85,4020
Central Region,2023-Q3,2023,3,146.07363492781354,23.175472743085752,28.388763263176205,28745.0,347.0,True,Central Region,2,975310,4241102.85,7304
East Region,2023-Q3,2023,3,160.75626178591236,23.90401016823812,28.124422259197633,10818.0,225.0,True,East Region,3,710690,4241102.85,6368
North Region,2023-Q3,2023,3,163.29581436612824,23.214765785609398,20.166177190406266,8172.0,203.0,True,North Region,4,599400,4241102.85,4456
North-East Region,2023-Q3,2023,3,177.79538710575142,25.114222077922076,19.898886827458256,10780.0,179.0,True,North-East Region,1,974650,4241102.85,8778
West Region,2023-Q3,2023,3,163.7307359006734,22.938320707070705,20.9391835016835,14256.0,421.0,True,West Region,4,944480,4241102.85,4020
Central Region,2023-Q4,2023,4,155.00812460573061,24.88083568511571,27.897805372024305,30119.0,350.0,True,Central Region,2,975310,4241102.85,7304
East Region,2023-Q4,2023,4,163.2665891359825,24.831727123587314,28.28536274152388,10972.0,231.0,True,East Region,3,710690,4241102.85,6368
North Region,2023-Q4,2023,4,184.14510661366103,25.327408384531985,20.491266112516563,8301.0,203.0,True,North Region,4,599400,4241102.85,4456
North-East Region,2023-Q4,2023,4,187.98097609994568,25.345447492304906,20.11533586818758,11046.0,175.0,True,North-East Region,1,974650,4241102.85,8778
West Region,2023-Q4,2023,4,165.62096234509056,23.630641325071498,21.74904671115348,12588.0,418.0,True,West Region,4,944480,4241102.85,4020
Central Region,2024-Q1,2024,1,159.38423198473282,24.94102534351145,30.470381679389313,26200.0,341.0,True,Central Region,2,975310,4241102.85,7304
East Region,2024-Q1,2024,1,174.65683482052322,24.714822652605964,28.39079294260799,9862.0,232.0,True,East Region,3,710690,4241102.85,6368
North Region,2024-Q1,2024,1,196.7795261303582,26.820697592483853,19.36332941867293,6812.0,197.0,True,North Region,4,599400,4241102.85,4456
North-East Region,2024-Q1,2024,1,197.9795331512031,25.993661973310918,19.009036461069666,9517.0,169.0,True,North-East Region,1,974650,4241102.85,8778
