province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
An Giang,2023-Q1,2023,1,47.876127767879865,25.24484016289132,30.916263680325784,3929.0,804.0,True,Mekong Delta,1,2057000,3791.46,540,10591.12,338704.14
Bà Rịa–Vũng Tàu,2023-Q1,2023,1,48.88663025679196,24.92530387048753,28.251209527353925,5374.0,716.0,True,Southeast,1,1303000,36786.39,580,102759.68,3286254.54
Bình Dương,2023-Q1,2023,1,46.2913345963013,23.906776815516466,28.603969327920613,11085.0,1255.0,True,Southeast,2,2564000,3663.54,901,10233.79,327276.61
Bình Phước,2023-Q1,2023,1,50.37995423438837,22.586146706586828,33.221556886227546,2338.0,743.0,True,Southeast,2,1313000,3606.56,145,10074.62,322186.39
Bình Thuận,2023-Q1,2023,1,49.73899537892791,26.550479359211337,33.135243376463336,3246.0,696.0,True,South Central Coast,2,1498000,3090.17,155,8632.13,276055.5
Bình Định,2023-Q1,2023,1,49.75354900744417,20.263956575682386,39.88616625310173,3224.0,748.0,True,South Central Coast,2,1679000,3089.1,245,8629.14,275959.91
Bạc Liêu,2023-Q1,2023,1,59.73971315028902,29.46105202312139,31.34320809248555,1384.0,419.0,True,Mekong Delta,2,1105000,3701.98,340,10341.17,330710.59
Bắc Giang,2023-Q1,2023,1,46.08789006622517,19.56330419426049,31.747461368653425,2265.0,632.0,True,Northeast,4,1884000,1909.44,463,5333.86,170576.83
Bắc Kạn,2023-Q1,2023,1,54.33876347546259,27.70535880933226,26.00724054706356,1243.0,253.0,True,Northeast,4,338000,1766.68,65,4935.07,157823.59
Bắc Ninh,2023-Q1,2023,1,45.161332988357046,19.82475446313066,32.528589909443724,3865.0,745.0,True,Red River Delta,1,1447000,4451.41,1664,12434.64,397659.74
Bến Tre,2023-Q1,2023,1,49.24680463464141,22.65589698917456,37.244587280108256,5912.0,732.0,True,Mekong Delta,2,1331000,2978.48,538,8320.13,266077.85
Cao Bằng,2023-Q1,2023,1,40.54355474137931,20.43059698275862,30.443534482758626,2320.0,682.0,True,Northeast,4,576000,1564.27,79,4369.66,139741.61
Cà Mau,2023-Q1,2023,1,53.81459166115156,24.301704169424223,33.59629384513567,1511.0,439.0,True,Mekong Delta,2,1369000,3121.66,229,8720.09,278868.61
Cần Thơ,2023-Q1,2023,1,50.12659688144921,26.873705801421693,31.945654666360927,4361.0,606.0,True,Mekong Delta,1,1456000,6260.52,858,17488.23,559273.75
Gia Lai,2023-Q1,2023,1,50.26900895036615,22.49543409275834,34.51505288852726,2458.0,698.0,True,Central Highlands,2,1586000,3023.2,98,8445.05,270072.84
Ho Chi Minh,2023-Q1,2023,1,57.36851478169552,26.186022212321795,24.87536596232179,62848.0,2125.0,True,Southeast,1,9125000,7147.09,4363,19964.79,638474.09
Hà Giang,2023-Q1,2023,1,45.917859430604985,16.563469750889677,32.887010676156585,1124.0,382.0,True,Northeast,4,910000,1083.72,108,3027.28,96812.43
Hà Nam,2023-Q1,2023,1,36.86819152241456,18.313616511318244,34.92143808255659,4506.0,681.0,True,Red River Delta,4,945000,2131.93,989,5955.37,190452.63
