province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Ayeyarwady,2023-Q1,2023,1,20.39058918817103,22.579090412507064,28.66359012996798,5309.0,556.0,True,Lower Myanmar / Delta-Coastal,1,6184829,165710.4,177
Bago,2023-Q1,2023,1,18.14730489034535,20.514207713637507,14.996596924628182,7934.0,820.0,True,Lower Myanmar / Delta-Coastal,2,4867373,165710.4,124
Chin,2023-Q1,2023,1,10.554737003058104,15.778140672782875,72.97859327217125,327.0,34.0,True,Northern / Western Highlands,4,478801,165710.4,13
Kachin,2023-Q1,2023,1,22.100808781617385,31.554661738510866,30.154613466334165,11228.0,702.0,True,Northern / Western Highlands,4,1689441,165710.4,19
Kayah,2023-Q1,2023,1,23.13094416243655,25.247065989847716,18.48477157360406,394.0,62.0,True,Eastern Highlands,4,286627,165710.4,24
Kayin,2023-Q1,2023,1,24.225739184692177,25.171906613976706,26.555740432612314,4808.0,395.0,True,Lower Myanmar / Delta-Coastal,3,1574079,165710.4,52
Magway,2023-Q1,2023,1,18.565337332392378,20.792425546930136,21.11093860268172,7085.0,603.0,True,Central Dry Zone,2,3917055,165710.4,87
Mandalay,2023-Q1,2023,1,21.56706920903955,22.777759198899027,18.183181225554108,27612.0,2054.0,True,Central Dry Zone,1,7325965,165710.4,163
Mon,2023-Q1,2023,1,22.29986987087518,25.9327037302726,14.554949784791965,6970.0,749.0,True,Lower Myanmar / Delta-Coastal,1,2054393,165710.4,167
Rakhine,2023-Q1,2023,1,18.01431730374024,20.454254007398273,34.41882449650637,2433.0,209.0,True,Northern / Western Highlands,2,3188807,165710.4,87
Saigang,2023-Q1,2023,1,18.3395409553866,16.776975756706353,34.60378711806054,6971.0,522.0,True,Central Dry Zone,3,5325347,165710.4,57
Shan,2023-Q1,2023,1,26.80528019160054,24.89333486549255,26.36539578091736,20668.0,1554.0,True,Eastern Highlands,3,5824432,165710.4,37
Tanitharyi,2023-Q1,2023,1,18.648404013177597,21.221916442048517,25.66397124887691,3339.0,251.0,True,Lower Myanmar / Delta-Coastal,4,1408401,165710.4,32
Yangon,2023-Q1,2023,1,20.223811356004543,18.443869013778276,8.538576754898092,124181.0,1808.0,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Ayeyarwady,2023-Q2,2023,2,19.14181044776119,20.959862686567163,26.054797441364606,4690.0,521.0,True,Lower Myanmar / Delta-Coastal,1,6184829,165710.4,177
Bago,2023-Q2,2023,2,16.66271965811966,19.37944220907298,18.674293228139383,7605.0,797.0,True,Lower Myanmar / Delta-Coastal,2,4867373,165710.4,124
Chin,2023-Q2,2023,2,9.575518867924528,16.42749685534591,83.27044025157232,318.0,42.0,True,Northern / Western Highlands,4,478801,165710.4,13
Kachin,2023-Q2,2023,2,14.775662193126024,29.249392362247683,27.99672667757774,9165.0,634.0,True,Northern / Western Highlands,4,1689441,165710.4,19
Kayah,2023-Q2,2023,2,16.048721393034825,22.258157545605307,25.923714759535656,603.0,56.0,True,Eastern Highlands,4,286627,165710.4,24
Kayin,2023-Q2,2023,2,29.118465792349724,28.675464480874318,27.975081967213114,4575.0,374.0,True,Lower Myanmar / Delta-Coastal,3,1574079,165710.4,52
Magway,2023-Q2,2023,2,17.627764238667183,20.86030317706315,19.133281673769858,5162.0,571.0,True,Central Dry Zone,2,3917055,165710.4,87
Mandalay,2023-Q2,2023,2,21.24555247216036,22.591429086859687,22.463296213808462,22450.0,1955.0,True,Central Dry Zone,1,7325965,165710.4,163
Mon,2023-Q2,2023,2,20.122303284296954,21.314789599726307,19.438077317824153,5846.0,711.0,True,Lower Myanmar / Delta-Coastal,1,2054393,165710.4,167
