province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
ARMM,2023-Q1,2023,1,51.19442258813129,42.214277710244225,73.8120234280031,9049.0,683.0,True,Mindanao,4,4545486,91028.33,330
Bicol Region,2023-Q1,2023,1,84.38161122300811,85.66032389495214,21.15085796368292,128094.0,5460.0,True,Luzon,4,6064426,142596.8,319
CAR,2023-Q1,2023,1,105.92929352365304,97.29163084480044,12.40406996645444,58428.0,1222.0,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2023-Q1,2023,1,82.56774266871358,78.51644614324206,21.153408734883136,63836.0,5020.0,True,Luzon,3,3777608,185618.02,122
Calabarzon,2023-Q1,2023,1,120.65229205946234,119.01249205306412,10.894479590239511,875243.0,11030.0,True,Luzon,2,16933234,259765.51,854
Caraga,2023-Q1,2023,1,96.41062680531485,92.25221233968804,20.72778740612363,43275.0,2423.0,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2023-Q1,2023,1,109.18079585033959,102.81275629769145,11.715395970122767,495896.0,12364.0,True,Luzon,2,12989074,263326.87,510
Central Visayas,2023-Q1,2023,1,108.43506148130045,104.4600697065447,13.405416964893599,343698.0,8380.0,True,Visayas,2,6640875,245591.3,647
Davao Region,2023-Q1,2023,1,102.14725289760177,90.93786898735415,17.795789926313937,153489.0,5352.0,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2023-Q1,2023,1,72.99374768392987,73.11356281634129,25.226161424439624,88512.0,4170.0,True,Visayas,4,4625929,147867.62,191
Ilocos Region,2023-Q1,2023,1,102.18075553182835,93.9366899735611,11.31605653853976,98340.0,7271.0,True,Luzon,3,5342453,193453.01,386
Mimaropa,2023-Q1,2023,1,91.33441882300454,94.22825346771577,49.2979396495782,49312.0,2114.0,True,Luzon,3,3245446,190888.83,100
NCR,2023-Q1,2023,1,130.45646098682258,115.75580616082608,7.207078508837883,1243567.0,1629.0,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2023-Q1,2023,1,97.09620178113587,90.41480127806696,15.366968378525367,102968.0,4381.0,True,Mindanao,1,5178326,291746.51,229
Soccsksargen,2023-Q1,2023,1,82.79717812597791,71.20411018597166,23.344047565827708,89476.0,4461.0,True,Mindanao,4,4462776,175147.62,202
Western Visayas,2023-Q1,2023,1,89.40138322147288,86.08630736335117,16.996744078055734,185201.0,7508.0,True,Visayas,2,9766855,196943.14,372
Zamboanga Peninsula,2023-Q1,2023,1,89.11711779964222,76.7274862432916,22.70381037567084,55900.0,2708.0,True,Mindanao,4,5089934,179848.62,213
ARMM,2023-Q2,2023,2,59.23212106625258,27.017460144927536,78.30388198757764,19320.0,842.0,True,Mindanao,4,4545486,91028.33,330
Bicol Region,2023-Q2,2023,2,88.64528076920058,89.45860333288874,24.160336427187207,127457.0,5809.0,True,Luzon,4,6064426,142596.8,319
CAR,2023-Q2,2023,2,111.46204421221866,102.47549099350351,15.497276724194501,60956.0,1436.0,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2023-Q2,2023,2,84.82864895881399,80.9407741541759,23.75282437521397,67183.0,5132.0,True,Luzon,3,3777608,185618.02,122
Calabarzon,2023-Q2,2023,2,125.31361952411804,126.49554410391309,11.349105419056514,923002.0,11559.0,True,Luzon,2,16933234,259765.51,854
Caraga,2023-Q2,2023,2,94.63814991133542,88.15893561587778,26.095780475605874,43986.0,2599.0,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2023-Q2,2023,2,111.69716732666178,106.3084399957047,12.149448392274477,530812.0,12793.0,True,Luzon,2,12989074,263326.87,510
Central Visayas,2023-Q2,2023,2,110.9561173202396,106.8915666516356,18.55587658939586,359256.0,9000.0,True,Visayas,2,6640875,245591.3,647
Davao Region,2023-Q2,2023,2,104.94459719689273,91.55274787810711,16.97956041320906,158467.0,5504.0,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2023-Q2,2023,2,68.15272581847616,66.87064973267728,31.19005474258206,93894.0,4601.0,True,Visayas,4,4625929,147867.62,191
Ilocos Region,2023-Q2,2023,2,103.16444844570336,96.22639335522399,12.409610839482562,110854.0,7715.0,True,Luzon,3,5342453,193453.01,386
Mimaropa,2023-Q2,2023,2,97.64500772309968,95.63597206630989,35.210807988513245,45966.0,2387.0,True,Luzon,3,3245446,190888.83,100
NCR,2023-Q2,2023,2,135.5797754529301,123.28925037925183,8.085337620628223,1300587.0,1628.0,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2023-Q2,2023,2,98.82977261653095,92.91006139145108,16.697204394854342,105487.0,4571.0,True,Mindanao,1,5178326,291746.51,229
Soccsksargen,2023-Q2,2023,2,83.79824038117351,72.65635672616456,25.70564504426063,103365.0,4784.0,True,Mindanao,4,4462776,175147.62,202
