province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Amnat Charoen,2023-Q1,2023,1,185.4800564516129,168.34802801358234,14.376910016977929,2356.0,469.0,True,Northeastern,4,372000,77048,113
Ang Thong,2023-Q1,2023,1,226.0136555269923,196.83846101113969,5.186803770351328,3501.0,559.0,True,Central,3,269000,142287,283
Bangkok Metropolis,2023-Q1,2023,1,255.96194113526678,211.53901028337148,6.082225418943011,505379.0,3744.0,True,Bangkok & Vicinity,1,5456000,593927,3488
Bueng Kan,2023-Q1,2023,1,202.24225503597123,176.29241366906476,11.10179856115108,2780.0,536.0,True,Northeastern,4,419000,80159,105
Buri Ram,2023-Q1,2023,1,188.59190364256236,168.8666518930558,7.4764040911537775,11146.0,1730.0,True,Northeastern,4,1566000,80684,155
Chachoengsao,2023-Q1,2023,1,227.81926419634263,189.2062725911667,6.293284140733611,18702.0,2052.0,True,Eastern,2,733000,400385,142
Chai Nat,2023-Q1,2023,1,216.57552432843386,190.06740293968576,10.767866193613786,3946.0,711.0,True,Central,3,314000,135667,131
Chaiyaphum,2023-Q1,2023,1,219.14216574503064,185.3903510685996,7.78897025855627,6691.0,1144.0,True,Northeastern,4,1106000,73134,88
Chanthaburi,2023-Q1,2023,1,218.98471099983024,188.87890230860634,7.808606348667459,11782.0,1592.0,True,Eastern,2,536000,243317,83
Chiang Mai,2023-Q1,2023,1,224.90011334822594,185.82618339667528,11.004888450491746,68938.0,4004.0,True,Northern,2,1799000,133306,79
Chiang Rai,2023-Q1,2023,1,207.2443100703443,178.82164823213625,13.01897445390596,21608.0,2598.0,True,Northern,3,1298000,90203,112
Chon Buri,2023-Q1,2023,1,229.6530771665694,185.29653540799066,5.248266447726351,101093.0,3763.0,True,Eastern,1,1636000,524002,363
Chumphon,2023-Q1,2023,1,195.65002391337043,170.95805309069033,9.961648368175666,6649.0,1176.0,True,Southern,2,508000,259853,84
Kalasin,2023-Q1,2023,1,196.12140765069555,162.7751632534776,6.398763523956723,5176.0,1040.0,True,Northeastern,4,962000,77397,139
Kamphaeng Phet,2023-Q1,2023,1,195.8092878683082,176.58678821413753,8.985475169456356,7229.0,1174.0,True,Northern,3,701000,141987,82
Kanchanaburi,2023-Q1,2023,1,212.05705614468334,182.31456289947704,6.40979081929111,13768.0,1930.0,True,Western,3,896000,127365,46
Khon Kaen,2023-Q1,2023,1,222.47339150924066,185.8220022947998,5.913125435397287,24403.0,2248.0,True,Northeastern,3,1772000,124489,166
Krabi,2023-Q1,2023,1,156.8883374760197,137.995930519643,11.094920343648344,11989.0,958.0,True,Southern,2,484000,168552,91
Lampang,2023-Q1,2023,1,224.4685283975659,192.22992368154158,7.791497633536173,11832.0,1338.0,True,Northern,3,704000,104754,56
Lamphun,2023-Q1,2023,1,225.9788710024187,191.31495968825587,6.074979844127923,7442.0,933.0,True,Northern,2,397000,226464,89
Loei,2023-Q1,2023,1,224.65183018867924,194.649658477903,9.603267063441812,7897.0,966.0,True,Northeastern,4,632000,105205,60
Lop Buri,2023-Q1,2023,1,230.3687963876652,190.01155022026433,6.306079295154185,11350.0,1409.0,True,Central,3,725000,142287,111
Mae Hong Son,2023-Q1,2023,1,125.86733911281243,112.92962868723261,176.89394280567438,4441.0,479.0,True,Northern,4,288000,65653,23
Maha Sarakham,2023-Q1,2023,1,216.89844411034122,183.90995934109034,7.634462021179239,7649.0,1103.0,True,Northeastern,4,930000,85228,165
Mukdahan,2023-Q1,2023,1,180.04258561744768,152.33270615974064,8.811671087533156,3393.0,538.0,True,Northeastern,4,351000,67203,85
Nakhon Nayok,2023-Q1,2023,1,202.53277405759778,169.94582814329195,7.904472020604074,4271.0,880.0,True,Eastern,3,260000,115666,121
Nakhon Pathom,2023-Q1,2023,1,252.73262060447948,205.6167649524021,4.835280730482085,36031.0,2455.0,True,Bangkok & Vicinity,2,926000,297901,432
Nakhon Phanom,2023-Q1,2023,1,192.05357022603272,164.7311215900234,9.286671862821512,6415.0,989.0,True,Northeastern,4,711000,87122,125
Nakhon Ratchasima,2023-Q1,2023,1,220.87079543037942,189.8802229829612,5.6789854508675015,38559.0,4410.0,True,Northeastern,3,2620000,126119,126
Nakhon Sawan,2023-Q1,2023,1,206.49478730566776,184.7892236503856,7.6911494674990815,16338.0,1720.0,True,Northern,3,1014000,119856,106
Nakhon Si Thammarat,2023-Q1,2023,1,232.95473621617077,205.70065956463273,9.038493864515045,23796.0,2879.0,True,Southern,3,1535000,122494,154
Nan,2023-Q1,2023,1,187.15860789252727,161.33314122586063,29.462804366078924,5955.0,779.0,True,Northern,4,471000,81233,39
Narathiwat,2023-Q1,2023,1,192.121936353211,165.75810865825687,13.187786697247706,3488.0,549.0,True,Southern,4,824000,61787,183
Nong Bua Lam Phu,2023-Q1,2023,1,171.64849474632243,149.61658751125788,9.191233863704593,3331.0,774.0,True,Northeastern,4,504000,63568,123
Nong Khai,2023-Q1,2023,1,195.47407614014483,166.0884153454688,8.538657271481698,5109.0,800.0,True,Northeastern,4,512000,97617,156
Nonthaburi,2023-Q1,2023,1,277.975772710161,226.09302493754205,5.92625971092529,87659.0,1284.0,True,Bangkok & Vicinity,1,1318000,193641,2069
Pathum Thani,2023-Q1,2023,1,265.6443895936215,216.28548066607212,5.238875504146312,75127.0,2196.0,True,Bangkok & Vicinity,1,1236000,230401,813
Pattani,2023-Q1,2023,1,181.55260553709857,155.59016212624584,11.666666666666666,4515.0,558.0,True,Southern,4,741000,78131,375
Phangnga,2023-Q1,2023,1,169.29980496350365,154.88903299270072,12.32963503649635,6850.0,866.0,True,Southern,2,266000,194282,49
Phatthalung,2023-Q1,2023,1,206.7046957189901,176.8377249176729,9.601536772777168,4555.0,769.0,True,Southern,3,519000,81529,135
Phayao,2023-Q1,2023,1,195.0703821714991,170.7655948488587,11.31014805675509,6484.0,830.0,True,Northern,3,455000,96550,74
Phetchabun,2023-Q1,2023,1,190.2342653971133,172.67328255119776,10.734754024030831,13233.0,1599.0,True,Northern,3,961000,88485,75
Phetchaburi,2023-Q1,2023,1,227.11176740726046,186.55962289228327,5.829101368776037,10082.0,1267.0,True,Western,3,484100,144370,76
Phichit,2023-Q1,2023,1,197.9711189396582,181.00815660969653,7.976107429368678,5734.0,853.0,True,Northern,3,517000,93950,120
Phitsanulok,2023-Q1,2023,1,201.83067955356114,176.71118593947762,6.24283741801864,17382.0,1498.0,True,Northern,3,839000,113013,78
Phra Nakhon Si Ayutthaya,2023-Q1,2023,1,226.47888816475495,188.66849656760516,4.882777198470629,23016.0,1865.0,True,Central,1,823000,468579,323
Phrae,2023-Q1,2023,1,221.74729403839677,188.61448905355337,9.48012798922196,5938.0,648.0,True,Northern,3,422000,82755,65
Phuket,2023-Q1,2023,1,183.20750288661065,147.07622891541513,9.501407351098145,48673.0,841.0,True,Southern,1,430000,165343,786
Prachin Buri,2023-Q1,2023,1,223.0297950310559,189.98403940535587,8.260971387842378,9821.0,1214.0,True,Eastern,1,501000,490499,100
Prachuap Khiri Khan,2023-Q1,2023,1,204.48362412617715,172.92758276041369,8.350857935178231,17309.0,1561.0,True,Western,2,552000,192326,87
Ranong,2023-Q1,2023,1,221.66320835224693,191.75595823876532,9.18656377666818,2203.0,288.0,True,Southern,3,193000,105256,59
Ratchaburi,2023-Q1,2023,1,238.43882553537546,197.28581669829222,5.128598536188669,18445.0,2126.0,True,Western,2,864000,221383,167
Rayong,2023-Q1,2023,1,244.63319311728307,206.32109140225467,5.520018082671715,35393.0,2735.0,True,Eastern,1,782000,955119,213
Roi Et,2023-Q1,2023,1,204.71951882338698,172.67683246580316,6.602469434693137,8261.0,1250.0,True,Northeastern,4,1276000,78688,162
Sa Kaeo,2023-Q1,2023,1,199.26889260385005,173.62615349544072,9.53596757852077,5922.0,846.0,True,Eastern,4,562000,73744,80
