province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Central Region,2023-Q1,2023,1,255.9564268403664,218.37274773972737,5.6360219201930875,101094.0,338.0,True,Central Region,2,975310,107758,7304
East Region,2023-Q1,2023,1,281.14961563081505,239.64801587272052,5.079810197245999,53740.0,192.0,True,East Region,3,710690,107758,6368
North Region,2023-Q1,2023,1,282.00788842099394,249.63724120140552,4.912292933236656,35858.0,171.0,True,North Region,4,599400,107758,4456
North-East Region,2023-Q1,2023,1,286.9256039222818,246.7231273074475,4.780030917522961,65982.0,156.0,True,North-East Region,1,974650,107758,8778
West Region,2023-Q1,2023,1,287.88172677491366,244.43696559882466,4.898074831619317,52411.0,282.0,True,West Region,4,944480,107758,4020
Central Region,2023-Q2,2023,2,263.12693199497096,221.7380116323047,5.555600985372735,97831.0,342.0,True,Central Region,2,975310,107758,7304
East Region,2023-Q2,2023,2,289.2895507303593,242.7028756020529,5.451480457954994,50660.0,184.0,True,East Region,3,710690,107758,6368
North Region,2023-Q2,2023,2,286.66885354393986,257.44649160767824,5.161602423418133,32351.0,171.0,True,North Region,4,599400,107758,4456
North-East Region,2023-Q2,2023,2,297.42552348118625,248.2535844762006,4.9997575353468005,65989.0,153.0,True,North-East Region,1,974650,107758,8778
West Region,2023-Q2,2023,2,295.2825949700074,246.51650212240182,5.377907092608462,50179.0,304.0,True,West Region,4,944480,107758,4020
Central Region,2023-Q3,2023,3,278.0343406492376,229.7873085198987,5.537494009369834,102243.0,342.0,True,Central Region,2,975310,107758,7304
East Region,2023-Q3,2023,3,304.0204036688343,245.3448187906435,5.473240803649422,51515.0,189.0,True,East Region,3,710690,107758,6368
North Region,2023-Q3,2023,3,297.78731850117094,253.62609819337573,5.021077283372366,35868.0,172.0,True,North Region,4,599400,107758,4456
North-East Region,2023-Q3,2023,3,318.5434723423797,258.5141346586869,5.171663901398436,67504.0,156.0,True,North-East Region,1,974650,107758,8778
West Region,2023-Q3,2023,3,313.9835150831264,254.04852249304145,5.468159933799744,53172.0,304.0,True,West Region,4,944480,107758,4020
Central Region,2023-Q4,2023,4,289.3602032197269,243.52378402391585,5.469822023748735,107711.0,343.0,True,Central Region,2,975310,107758,7304
East Region,2023-Q4,2023,4,312.8971107426354,258.5786840712648,5.315999294408185,56690.0,194.0,True,East Region,3,710690,107758,6368
North Region,2023-Q4,2023,4,317.9592789289219,279.92096197953174,4.895415673629609,35665.0,165.0,True,North Region,4,599400,107758,4456
North-East Region,2023-Q4,2023,4,330.4097962082726,274.8966492652166,4.856080519728151,73423.0,157.0,True,North-East Region,1,974650,107758,8778
