province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
An Giang,2023-Q1,2023,1,95.57958600243528,88.10515760495527,7.184657737307427,18889.0,2010.0,True,Mekong Delta,1,2057000,338704.14,540
Bà Rịa–Vũng Tàu,2023-Q1,2023,1,109.29443024310879,94.01653095960701,5.925377804198868,31961.0,1504.0,True,Southeast,1,1303000,3286254.54,580
Bình Dương,2023-Q1,2023,1,114.67984811490793,101.53276362487689,4.78036679859524,53817.0,2251.0,True,Southeast,2,2564000,327276.61,901
Bình Phước,2023-Q1,2023,1,101.15592373799939,91.24165376277485,6.347475998761227,12916.0,2016.0,True,Southeast,2,1313000,322186.39,145
Bình Thuận,2023-Q1,2023,1,97.32066891031472,82.64340755563641,13.525316839488205,16491.0,1570.0,True,South Central Coast,2,1498000,276055.5,155
Bình Định,2023-Q1,2023,1,98.98601992807276,84.29329553628095,10.029363232494182,23635.0,2110.0,True,South Central Coast,2,1679000,275959.91,245
Bạc Liêu,2023-Q1,2023,1,104.59939051724137,95.62389181034483,7.280890804597701,6960.0,1082.0,True,Mekong Delta,2,1105000,330710.59,340
Bắc Giang,2023-Q1,2023,1,90.22798204627823,78.04421327014218,6.774797881237803,17935.0,2445.0,True,Northeast,4,1884000,170576.83,463
Bắc Kạn,2023-Q1,2023,1,81.92421027104137,71.33869044222538,6.9286733238231095,3505.0,723.0,True,Northeast,4,338000,157823.59,65
Bắc Ninh,2023-Q1,2023,1,93.62234868277814,81.07300918063721,5.502866681181508,27558.0,1724.0,True,Red River Delta,1,1447000,397659.74,1664
Bến Tre,2023-Q1,2023,1,106.79787812041116,92.98820371112001,6.1441730076091305,14982.0,2256.0,True,Mekong Delta,2,1331000,266077.85,538
Cao Bằng,2023-Q1,2023,1,76.9581686349427,69.75283952761376,8.209621396318166,5758.0,873.0,True,Northeast,4,576000,139741.61,79
Cà Mau,2023-Q1,2023,1,109.68541663140076,100.86744212865001,8.409754549301734,9452.0,1645.0,True,Mekong Delta,2,1369000,278868.61,229
Côn Đảo,2023-Q1,2023,1,79.4626365313653,71.8810811808118,8.85608856088561,542.0,28.0,True,Southeast,1,1303000,3286254.54,580
Cần Thơ,2023-Q1,2023,1,113.32619192450844,100.99080134591526,5.907816083311403,26599.0,1642.0,True,Mekong Delta,1,1456000,559273.75,858
Gia Lai,2023-Q1,2023,1,98.87492841935247,78.21344864547389,9.90566037735849,13621.0,1532.0,True,Central Highlands,2,1586000,270072.84,98
Ho Chi Minh,2023-Q1,2023,1,125.31415072325218,107.89481842102268,4.3976191289107405,439335.0,3041.0,True,Southeast,1,9125000,638474.09,4363
Hà Giang,2023-Q1,2023,1,90.59669242177073,76.21525226160463,10.079638143259677,6743.0,1037.0,True,Northeast,4,910000,96812.43,108
Hà Nam,2023-Q1,2023,1,78.73751836302284,72.44718174684141,5.288354390645845,25486.0,1736.0,True,Red River Delta,4,945000,190452.63,989
Hà Nội,2023-Q1,2023,1,108.31260701016414,91.38975414754327,4.6301086805348595,352317.0,5895.0,True,Red River Delta,1,8146000,350473.82,2398
Hà Tĩnh,2023-Q1,2023,1,78.4194886159377,69.8890817855003,10.1345116836429,10014.0,1803.0,True,North Central Coast,4,1402000,189147.47,215
Hòa Bình,2023-Q1,2023,1,83.48059475679091,71.84797070435881,6.173720783322805,12664.0,1759.0,True,Northwest,3,979000,209319.85,186
Hưng Yên,2023-Q1,2023,1,86.21508330173862,77.91601971510588,6.0485294914152625,18463.0,1548.0,True,Red River Delta,3,1340000,223672.16,1347
Hải Dương,2023-Q1,2023,1,86.4886444214222,73.19810351377018,5.613571613571613,34749.0,3092.0,True,Red River Delta,3,2003000,224577.11,1134
Hải Phòng,2023-Q1,2023,1,89.72803505499202,70.84187223582448,4.849947534102833,51462.0,1800.0,True,Red River Delta,1,2138000,343860.47,1299
Hậu Giang,2023-Q1,2023,1,89.99374224924013,82.9638,6.485511651469098,4935.0,882.0,True,Mekong Delta,2,853000,262983.34,452
Khánh Hòa,2023-Q1,2023,1,103.19202760340012,91.33577767098188,13.806145435977532,33293.0,1417.0,True,South Central Coast,1,1371000,373474.5,240
Kiên Giang,2023-Q1,2023,1,96.47376469391907,84.91994617314081,8.624906785980611,14751.0,1907.0,True,Mekong Delta,1,1789000,387388.18,271
Kon Tum,2023-Q1,2023,1,99.48048940178992,81.99597479981159,10.286858219500706,4246.0,598.0,True,Central Highlands,4,589000,185404.4,56
Lai Châu,2023-Q1,2023,1,83.81007469879519,73.72379277108433,10.444750430292599,2905.0,511.0,True,Northwest,4,527000,96644.48,51
Long An,2023-Q1,2023,1,98.39184736373929,89.11611115154456,5.405021834061135,24732.0,2878.0,True,Mekong Delta,1,1730000,358440.58,376
Lào Cai,2023-Q1,2023,1,92.87746918299092,80.56313072145245,9.579933110367893,10465.0,1137.0,True,Northwest,3,898000,247234.74,115
Lâm Đồng,2023-Q1,2023,1,105.78264073467903,89.05756777595927,14.200872885979269,27495.0,2376.0,True,Central Highlands,2,1390000,297641.14,133
Lạng Sơn,2023-Q1,2023,1,90.58695434382776,80.31937422914639,7.3726062966569295,9243.0,1197.0,True,Northeast,4,828000,196710.43,94
Nam Định,2023-Q1,2023,1,84.61642766329027,72.60115162417046,6.990604261264408,28630.0,2642.0,True,Red River Delta,4,1852000,170177.51,1067
Nghệ An,2023-Q1,2023,1,80.89698363034967,67.61393718779533,9.034190630484677,29628.0,3896.0,True,North Central Coast,3,3399000,212576.95,202
Ninh Bình,2023-Q1,2023,1,74.30735110657568,68.99184629121754,7.398112124497736,15679.0,1677.0,True,Red River Delta,3,1102000,221438.82,708
Ninh Thuận,2023-Q1,2023,1,95.51297158081705,85.39595683836589,13.167317939609235,5630.0,510.0,True,South Central Coast,3,720000,214609.28,176
