country,network_type,brand,total_tests,avg_d_mbps,n_asn,label,share_pct
cambodia,broadband,Metfone,107846.0,30.25781845423195,1.0,Metfone,40.89382000743207
cambodia,cellular,Metfone,104341.0,18.969180972041535,1.0,Metfone,66.38481702041024
indonesia,broadband,Telkom Indonesia,67247690.0,18.61923802513629,1.0,Telkom Indonesia,49.7168908400036
indonesia,cellular,Telkomsel,23434719.0,25.47299360681798,1.0,Telkomsel,43.52095164776366
laos,broadband,Unitel,18926.0,42.70013463265776,1.0,Unitel,48.83246897334675
laos,cellular,Unitel,13928.0,22.243260428018573,1.0,Unitel,50.496700746863894
malaysia,broadband,TM,1113888.0,113.05728887754404,4.0,TM (4.0 ASN),50.279726024676556
malaysia,cellular,U Mobile,407619.0,44.70010392676862,1.0,U Mobile,35.49021844273464
myanmar,broadband,Mytel,146095.0,10.291874782461983,1.0,Mytel,15.443233866765045
myanmar,cellular,MPT,56249.0,24.577305178835374,1.0,MPT,29.59679243992402
philippines,broadband,PLDT,48600555.0,60.6386538626611,2.0,PLDT (2.0 ASN),46.26883299692499
philippines,cellular,Smart,18961359.0,20.827259253369412,1.0,Smart,46.55837349666949
singapore,broadband,Singtel Fibre Broadband (AS9506),2568170.0,176.33366188421493,1.0,Singtel Fibre Broadband (AS9506),25.432602914018933
singapore,cellular,SINGTEL MOBILE INTERNET SERV (AS45143),841324.0,103.82743838142939,1.0,SINGTEL MOBILE INTERNET SERV (AS45143),37.287011832405135
thailand,broadband,True,5779922.0,114.50601909478046,3.0,True (3.0 ASN),28.91192214204419
thailand,cellular,True,5843498.0,19.814307506491623,3.0,True (3.0 ASN),39.44458282285201
vietnam,broadband,Viettel,4370059.0,70.9760728344497,2.0,Viettel (2.0 ASN),38.95170348117459
vietnam,cellular,Viettel,196486.0,39.44232684111556,1.0,Viettel,33.5454902429447
