country,network_type,worst_brand,best_brand,worst_d,best_d,gap_ratio,n_majors
cambodia,broadband,EZECOM (2.0 ASN),ANGKOR DATA COMMUNICATION (AS38235),19.355271066251245,31.009669203163355,1.6021304530957081,4
cambodia,cellular,Metfone,Smart,18.969180972041535,23.896425478969945,1.259749986791239,3
indonesia,broadband,Telkom Indonesia,Biznet,18.61923802513629,43.32841631661272,2.3270778459418486,2
indonesia,cellular,Indosat (2.0 ASN),Telkomsel,17.000741952833273,25.47299360681798,1.4983459943977773,3
laos,broadband,LTC,Unitel,25.283371074788292,42.70013463265776,1.6888623952221649,3
laos,cellular,ETL,Unitel,13.276642546782396,22.243260428018573,1.6753678763016213,3
malaysia,broadband,Celcom,TIME dotCom,44.12059101910986,196.26814204272813,4.448447709091633,5
malaysia,cellular,Digi,Maxis,37.65889715075494,52.57894789748123,1.3961892640402824,4
myanmar,broadband,Mytel,"Global Technology Co., Ltd. (AS133384)",10.291874782461983,22.909319663797007,2.225961756048175,6
myanmar,cellular,Mytel,Nine Communications Company  (AS132167),17.82831187234916,26.648871013845802,1.494750103355377,4
philippines,broadband,PLDT (2.0 ASN),Globe (2.0 ASN),60.6386538626611,90.00061236665704,1.4842119116050476,3
philippines,cellular,Smart,DITO,20.827259253369412,31.166733581110844,1.4964395075683672,3
singapore,broadband,StarHub Ltd (AS4657),MyRepublic Ltd. (AS56300),126.57595953067565,300.2225293833505,2.3718763855042444,6
singapore,cellular,Simba Telecom Pte Ltd (AS4817),SINGTEL MOBILE INTERNET SERV (AS45143),22.213695249962548,103.82743838142939,4.674028216066593,4
thailand,broadband,NT (12.0 ASN),AIS (4.0 ASN),65.93682553732694,125.86209641795982,1.908828570260925,4
thailand,cellular,dtac (3.0 ASN),AIS (3.0 ASN),18.924115401470274,29.36772665158832,1.5518678695706247,3
vietnam,broadband,VNPT (2.0 ASN),Viettel (2.0 ASN),66.70708387644346,70.9760728344497,1.0639960362517624,3
vietnam,cellular,VNPT,Viettel,29.915164768983306,39.44232684111556,1.31847265912472,3
