name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
BangKlam,บางกล่ำ,354.12424766355144,642.0,101.0,1
KhuanNiang,ควนเนียง,353.01967941176474,340.0,62.0,2
SinghaNakhon,สิงหนคร,351.68374920297555,941.0,128.0,3
HatYai,หาดใหญ่,323.23779405693176,18408.0,610.0,4
KhlongHoiKong,คลองหอยโข่ง,317.99951474201475,814.0,109.0,5
NaMom,นาหม่อม,314.1034901574803,508.0,65.0,6
MuangSongkhla,เมืองสงขลา,299.8063142044107,4217.0,226.0,7
KrasaeSinthu,กระแสสินธุ์,278.9909016393443,61.0,20.0,8
NaThawi,นาทวี,267.77284734513273,452.0,93.0,9
Chana,จะนะ,266.1424481054366,607.0,156.0,10
SongkhlaLake,NA,254.43616666666665,6.0,4.0,11
Sadao,สะเดา,244.97987549971447,1751.0,220.0,12
SathingPhra,สทิงพระ,242.96366295264625,359.0,69.0,13
Rattaphum,รัตภูมิ,237.75751834862385,654.0,149.0,14
Ranot,ระโนด,233.25166836734695,392.0,76.0,15
SabaYoi,สะบ้าย้อย,228.18622189349114,338.0,73.0,16
Thepha,เทพา,201.36414912280702,456.0,97.0,17
