name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
KhlongHoiKong,คลองหอยโข่ง,179.4071626712329,584.0,54.0,1
MuangSongkhla,เมืองสงขลา,139.0294349258649,2428.0,171.0,2
HatYai,หาดใหญ่,120.68473323804574,7696.0,468.0,3
SabaYoi,สะบ้าย้อย,115.65286390532545,338.0,78.0,4
Rattaphum,รัตภูมิ,111.63062795275592,508.0,113.0,5
NaThawi,นาทวี,109.0577190226876,573.0,103.0,6
Sadao,สะเดา,81.94254841040461,1384.0,187.0,7
Chana,จะนะ,78.74027253218884,466.0,114.0,8
BangKlam,บางกล่ำ,75.17810215053764,186.0,66.0,9
SathingPhra,สทิงพระ,72.20552,75.0,30.0,10
SinghaNakhon,สิงหนคร,70.6008109589041,365.0,67.0,11
NaMom,นาหม่อม,70.10325991189427,227.0,42.0,12
KrasaeSinthu,กระแสสินธุ์,65.527,5.0,4.0,13
SongkhlaLake,NA,58.932,6.0,3.0,14
Thepha,เทพา,56.50141262135922,206.0,87.0,15
Ranot,ระโนด,54.88597297297297,148.0,47.0,16
KhuanNiang,ควนเนียง,51.255971962616826,107.0,42.0,17
