server_site,server_city,server_latitude,server_longitude
ams04,Amsterdam,52.3086,4.7639
ams05,Amsterdam,52.3086,4.7639
bcn01,Barcelona,41.2974,2.0811
beg01,Belgrade,44.8216,20.2921
ber01,Berlin,52.3667,13.5033
bog02,Bogota,4.69715,-74.14329
bog03,Bogota,4.69715,-74.14329
bog04,Bogota,4.69715,-74.14329
bog05,Bogota,4.69715,-74.14329
bom02,Mumbai,19.0886,72.8681
bom03,Mumbai,19.0886,72.8681
bom06,Mumbai,19.0886,72.8681
bru01,Brussels,50.4974,3.3528
bru04,Brussels,50.4974,3.3528
cgk01,Jakarta,-6.1256,106.6558
cgk02,Jakarta,-6.12556,106.656
cpt01,Cape Town,-33.9648,18.6017
del01,New Delhi,28.5562,77.1
del02,New Delhi,28.5562,77.1
del03,New Delhi,28.5562,77.1
del04,New Delhi,28.5562,77.1
del05,New Delhi,28.5562,77.1
dfw02,Dallas,32.8969,-97.0381
dfw03,Dallas,32.8969,-97.0381
dfw05,Dallas,32.8969,-97.0381
dfw07,Dallas,32.8969,-97.0381
dfw08,Dallas,32.8969,-97.0381
dfw09,Dallas,32.8969,-97.0381
dfw12,Dallas,32.8969,-97.0381
doh01,Doha,25.2731,51.6081
doh02,Doha,25.2731,51.6081
dub01,Dublin,53.4333,-6.25
fra01,Frankfurt,50.0379,8.5622
fra04,Frankfurt,50.0333,8.57056
fra07,Frankfurt,50.0379,8.5622
gig03,Rio de Janeiro,-22.8052,-43.2588
ham02,Hamburg,53.6333,9.9833
hel01,Helsinki,60.3172,24.9633
hel02,Helsinki,60.3172,24.9633
hkg01,Hong Kong,22.3089,113.9144
hkg02,Hong Kong,22.3089,113.9144
hkg03,Hong Kong,22.3089,113.9144
hkg04,Hong Kong,22.3089,113.9144
hkg05,Hong Kong,22.3089,113.915
hnd02,Tokyo,35.5522,139.78
hnd05,Tokyo,35.5522,139.78
hnd06,Tokyo,35.5522,139.78
hnd07,Tokyo,35.5522,139.78
iad02,Washington,38.9445,-77.4558
iad03,Washington,38.9444,-77.4558
icn01,Seoul,37.4633,126.44
icn02,Seoul,37.4633,126.44
jnb01,Johannesburg,-26.1392,28.246
jnb02,Johannesburg,-26.1392,28.246
kix01,Osaka,34.4342,135.2328
kix02,Osaka,34.4305,135.23
las01,Las Vegas,36.08,-115.1522
las02,Las Vegas,36.08,-115.1522
lax04,Los Angeles,33.9425,-118.4072
lax06,Los Angeles,33.9425,-118.408
lax07,Los Angeles,33.9425,-118.4072
lax10,Los Angeles,33.9425,-118.408
lga04,New York,40.7667,-73.8667
lga05,New York,40.7667,-73.8667
lga06,New York,40.7667,-73.8667
lga08,New York,40.7667,-73.8667
lga09,New York,40.7667,-73.8667
lhr02,London,51.4697,-0.4514
lhr03,London,51.4697,-0.4514
lhr04,London,51.4697,-0.4514
lhr05,London,51.4697,-0.4514
lhr07,London,51.4697,-0.4514
lhr08,London,51.4697,-0.4514
lhr09,London,51.4697,-0.4514
lhr10,London,51.4697,-0.4514
lju01,Ljubljana,46.2236,14.4575
maa01,Chennai,12.9941,80.1709
maa02,Chennai,20.600792,78.96156
maa03,Chennai,12.99,80.1693
mel02,Melbourne,-37.6733,144.843
mia02,Miami,25.7833,-80.2667
mia03,Miami,25.7833,-80.2667
mia04,Miami,25.7833,-80.2667
mia05,Miami,25.7833,-80.2667
mia06,Miami,25.7833,-80.2667
mnl01,Manila,14.5086,121.0194
mnl02,Manila,14.5086,121.0194
mrs02,Marseille,43.4393,5.22142
nbo01,Nairobi,-1.3192,36.9258
nuq03,San Francisco Bay Area,37.3833,-122.0667
nuq04,San Francisco Bay Area,37.3833,-122.0667
nuq06,San Francisco Bay Area,37.3833,-122.0667
nuq08,San Francisco Bay Area,37.3833,-122.0667
oma01,Omaha,41.3,-95.895
oma02,Omaha,41.3,-95.895
ord06,Chicago,41.9786,-87.9047
par08,Paris,49.0097,2.54778
pdx01,Portland,45.5886,-122.5975
per01,Perth,-31.9403,115.967
per02,Perth,-31.9403,115.9669
prg02,Prague,50.0833,14.4167
prg03,Prague,50.0833,14.4167
prg04,Prague,50.0833,14.4167
prg05,Prague,50.0833,14.4167
sea03,Seattle,47.4489,-122.3094
sea08,Seattle,47.4489,-122.3094
sin01,Singapore,1.355,103.988
sin02,Singapore,1.355,103.988
sin03,Singapore,1.35019,103.994
slc01,Salt Lake City,40.7883,-111.9778
sof01,Sofia,42.6967,23.4114
sof02,Sofia,42.695,23.4083
syd03,Sydney,-33.9461,151.177
tgd01,Podgorica,42.1078,18.7616
tlv01,Tel Aviv,32.0094,34.8828
tlv02,Tel Aviv,32.0094,34.8828
tpe01,Taipei,25.0777,121.233
tpe02,Taipei,25.0778,121.224
tpe03,Taipei,25.0777,121.233
waw01,Warsaw,52.1658,20.9672
waw02,Warsaw,52.1657,20.9671
yul08,Montreal,45.4657,-73.7455
yvr02,Vancouver,49.1902,-123.1837
ywg02,Winnipeg,49.906,-97.2373
yyc03,Calgary,51.1315,-114.0106
yyz03,Toronto,43.6797,-79.6227
yyz04,Toronto,43.6767,-79.6306
yyz06,Toronto,43.6797,-79.6227
yyz07,Toronto,43.6767,-79.6306
