server_site,server_city,server_latitude,server_longitude
ams03,Amsterdam,52.3086,4.7639
ams04,Amsterdam,52.3086,4.7639
ams05,Amsterdam,52.3086,4.76389
ams08,Amsterdam,52.3086,4.7639
ams09,Amsterdam,52.3086,4.7639
ams10,Amsterdam,52.3086,4.7639
ams11,Amsterdam,52.3086,4.76389
arn02,Stockholm,59.6519,17.9186
arn03,Stockholm,59.6519,17.9186
arn04,Stockholm,59.6519,17.9186
arn06,Stockholm,59.6519,17.9186
ath03,Athens,37.9364,23.9444
atl02,Atlanta,33.6367,-84.4281
atl04,Atlanta,33.6367,-84.4281
atl08,Atlanta,33.6367,-84.4281
beg01,Belgrade,44.8216,20.2921
bog02,Bogota,4.70159,-74.1469
bog03,Bogota,4.69715,-74.14329
bog05,Bogota,4.70159,-74.1469
bom01,Mumbai,20.600792,78.96156
bom02,Mumbai,20.600792,78.96156
bom03,Mumbai,20.600792,78.96156
bom04,Mumbai,19.0887,72.8679
bom05,Mumbai,19.0886,72.8681
bom06,Mumbai,19.0887,72.8679
bru01,Brussels,50.9014,4.48444
bru02,Brussels,50.9014,4.48444
bru04,Brussels,50.9014,4.48444
bru07,Brussels,50.9014,4.48444
cgk01,Jakarta,-6.1256,106.6558
cgk02,Jakarta,-6.12556,106.656
chs01,Charleston,32.8986,-80.0406
chs02,Charleston,32.8986,-80.0406
cmh01,Columbus,39.9981,-82.8919
cmh02,Columbus,39.998,-82.8919
del01,New Delhi,20.600792,78.96156
del02,New Delhi,28.5562,77.1
del03,New Delhi,20.600792,78.96156
del04,New Delhi,28.5562,77.1
del05,New Delhi,28.5665,77.1031
den02,Denver,39.8561,-104.6737
den04,Denver,39.8561,-104.6737
den05,Denver,39.8561,-104.6737
den06,Denver,39.8561,-104.6737
dfw02,Dallas,32.8968,-97.038
dfw03,Dallas,32.8968,-97.038
dfw05,Dallas,32.8969,-97.0381
dfw07,Dallas,32.8969,-97.0381
dfw08,Dallas,32.8969,-97.0381
