server_site,server_city,server_latitude,server_longitude
akl01,Auckland,-36.85,174.783
ams03,Amsterdam,52.3086,4.7639
ams04,Amsterdam,52.3086,4.7639
ams05,Amsterdam,52.3086,4.76389
ams08,Amsterdam,52.3086,4.7639
ams09,Amsterdam,52.3086,4.7639
ams10,Amsterdam,52.3086,4.7639
ams11,Amsterdam,52.3086,4.76389
arn02,Stockholm,59.6519,17.9186
arn03,Stockholm,59.6519,17.9186
arn04,Stockholm,59.6519,17.9186
arn05,Stockholm,59.6519,17.9186
arn06,Stockholm,59.6519,17.9186
ath03,Athens,37.9364,23.9444
atl02,Atlanta,33.6367,-84.4281
atl03,Atlanta,33.6367,-84.4281
atl04,Atlanta,33.6367,-84.4281
atl07,Atlanta,33.6367,-84.4281
atl08,Atlanta,33.6367,-84.4281
bcn01,Barcelona,41.2971,2.07846
beg01,Belgrade,44.8184,20.3091
ber01,Berlin,52.3667,13.5033
ber02,Berlin,52.3514,13.4939
bog02,Bogota,4.70159,-74.1469
bog05,Bogota,4.70159,-74.1469
bom01,Mumbai,20.600792,78.96156
bom02,Mumbai,19.0887,72.8679
bom03,Mumbai,19.0886,72.8681
bom04,Mumbai,19.0886,72.8681
bom05,Mumbai,19.0886,72.8681
bom06,Mumbai,19.0887,72.8679
bru01,Brussels,50.4974,3.3528
bru02,Brussels,50.9014,4.48444
bru04,Brussels,50.4974,3.3528
bru06,Brussels,50.4974,3.3528
bru07,Brussels,50.9014,4.48444
cgk01,Jakarta,-6.1256,106.6558
cgk02,Jakarta,-6.12556,106.656
chs01,Charleston,32.8986,-80.0406
chs02,Charleston,32.8986,-80.0406
cmh01,Columbus,39.9981,-82.8919
cmh02,Columbus,39.998,-82.8919
cpt01,Cape Town,-33.9724,18.6018
del01,New Delhi,28.5562,77.1
del02,New Delhi,28.5562,77.1
del03,New Delhi,28.5562,77.1
del04,New Delhi,28.5665,77.1031
del05,New Delhi,28.5665,77.1031
den02,Denver,39.8561,-104.6737
den04,Denver,39.8561,-104.6737
den05,Denver,39.8561,-104.6737
den06,Denver,39.8561,-104.6737
dfw02,Dallas,32.8969,-97.0381
dfw03,Dallas,32.8968,-97.038
dfw05,Dallas,32.8969,-97.0381
dfw07,Dallas,32.8969,-97.0381
dfw08,Dallas,32.8968,-97.038
dfw09,Dallas,32.8969,-97.0381
dfw10,Dallas,32.8969,-97.0381
dfw11,Dallas,32.8969,-97.0381
dfw12,Dallas,32.8969,-97.0381
doh01,Doha,25.2731,51.6081
doh02,Doha,25.2731,51.6081
dub01,Dublin,53.4213,-6.27007
eze01,Buenos Aires,-34.8222,-58.5358
eze02,Buenos Aires,-34.8222,-58.5358
fln01,Florianopolis,-27.6703,-48.5525
fra01,Frankfurt,50.0379,8.5622
fra02,Frankfurt,50.0379,8.5622
fra03,Frankfurt,50.0333,8.57056
fra04,Frankfurt,50.0333,8.57056
fra05,Frankfurt,50.0379,8.5622
fra06,Frankfurt,50.0379,8.5622
fra07,Frankfurt,50.0379,8.5622
fra08,Frankfurt,50.0379,8.5622
gru02,Sao Paulo,-23.4322,-46.4692
gru03,Sao Paulo,-23.4322,-46.4692
gru05,Sao Paulo,-23.4305,-46.473
gru06,Sao Paulo,-23.4322,-46.4692
ham02,Hamburg,53.6333,9.9833
hel01,Helsinki,60.3172,24.9633
hel02,Helsinki,60.3172,24.9633
hkg01,Hong Kong,22.3089,113.9144
hkg02,Hong Kong,22.3089,113.9144
hkg03,Hong Kong,22.3089,113.915
hkg04,Hong Kong,22.3089,113.9144
hkg05,Hong Kong,22.3089,113.915
hnd02,Tokyo,35.5522,139.78
hnd03,Tokyo,35.5522,139.78
hnd04,Tokyo,35.5522,139.78
hnd05,Tokyo,35.5522,139.78
hnd06,Tokyo,35.5522,139.78
hnd07,Tokyo,35.5522,139.78
hnl02,Honolulu,21.3206,-157.924
iad02,Washington,38.9444,-77.4558
iad03,Washington,38.9444,-77.4558
iad04,Washington,38.9444,-77.4558
iad06,Washington,38.9444,-77.4558
iad07,Washington,38.9444,-77.4558
iad09,Washington,38.9444,-77.4558
icn01,Seoul,37.4633,126.44
icn02,Seoul,37.4633,126.44
