name,region,internet_tier,mean_dl,mean_ul,mean_lat,ul_dl_ratio,mean_tests,gdp_per_capita_thb_2021,flag_count
Nonthaburi,Bangkok & Vicinity,1,317.29,256.74,6.05,0.81,82461.0,193641.0,0
Pathum Thani,Bangkok & Vicinity,1,315.19,254.39,5.35,0.81,73300.0,230401.0,2
Samut Prakan,Bangkok & Vicinity,1,312.04,247.99,5.93,0.8,85336.36,283160.0,3
Samut Sakhon,Bangkok & Vicinity,1,299.91,245.52,5.8,0.82,26094.27,391442.0,2
Nakhon Pathom,Bangkok & Vicinity,2,296.97,241.86,5.45,0.82,33914.73,297901.0,2
Bangkok Metropolis,Bangkok & Vicinity,1,295.46,239.28,6.28,0.81,482434.64,593927.0,1
Rayong,Eastern,1,281.78,236.33,5.97,0.84,35266.73,955119.0,2
Saraburi,Central,1,275.55,224.82,5.76,0.82,15461.09,323556.0,2
Chon Buri,Eastern,1,272.61,221.21,5.52,0.81,100030.91,524002.0,2
Ratchaburi,Western,2,272.53,225.04,5.65,0.83,18194.91,221383.0,1
Ubon Ratchathani,Northeastern,4,272.18,226.42,10.76,0.83,16024.82,78275.0,2
Lop Buri,Central,3,271.71,221.87,6.48,0.82,11274.55,142287.0,1
Suphan Buri,Western,3,270.4,228.11,6.91,0.84,12655.36,107792.0,0
Samut Songkhram,Western,2,269.47,225.37,6.42,0.84,4066.55,160089.0,1
Phra Nakhon Si Ayutthaya,Central,1,264.07,217.22,4.96,0.82,21461.55,468579.0,2
Chachoengsao,Eastern,2,262.82,219.44,6.48,0.84,19597.45,400385.0,1
Sing Buri,Central,3,262.75,220.61,6.98,0.84,3149.27,142428.0,0
Khon Kaen,Northeastern,3,260.08,211.99,6.44,0.82,23551.36,124489.0,1
Nakhon Ratchasima,Northeastern,3,259.45,216.14,6.57,0.83,41204.09,126119.0,1
Prachin Buri,Eastern,1,259.38,218.95,8.2,0.84,11162.18,490499.0,1
Kalasin,Northeastern,4,258.81,216.01,7.17,0.84,5710.64,77397.0,1
Phetchaburi,Western,3,258.76,214.09,6.66,0.83,10222.91,144370.0,1
Uttaradit,Northern,3,258.58,220.54,9.39,0.85,5902.45,103567.0,1
Chiang Mai,Northern,2,258.41,212.67,11.64,0.82,65887.09,133306.0,0
Prachuap Khiri Khan,Western,2,257.67,215.09,8.88,0.84,17285.45,192326.0,1
Nakhon Sawan,Northern,3,255.78,223.66,8.15,0.88,19266.18,119856.0,1
Udon Thani,Northeastern,4,254.99,215.98,7.89,0.85,18784.0,90818.0,0
Nakhon Si Thammarat,Southern,3,253.25,220.16,11.47,0.87,20943.73,122494.0,0
Chanthaburi,Eastern,2,250.17,217.78,8.2,0.87,13294.82,243317.0,1
Phrae,Northern,3,249.68,208.12,13.44,0.83,5483.0,82755.0,0
Kamphaeng Phet,Northern,3,249.43,219.33,9.81,0.88,10211.18,141987.0,1
Lampang,Northern,3,249.23,206.3,9.01,0.83,10607.27,104754.0,0
Sa Kaeo,Eastern,4,247.15,217.96,10.29,0.88,6453.82,73744.0,1
Uthai Thani,Northern,3,246.49,220.89,9.12,0.9,5283.36,101640.0,1
Loei,Northeastern,4,246.38,214.08,11.37,0.87,8441.64,105205.0,0
Chai Nat,Central,3,246.14,211.04,10.59,0.86,3768.55,135667.0,0
Phichit,Northern,3,245.63,225.35,9.06,0.92,9823.55,93950.0,2
Phitsanulok,Northern,3,244.36,212.61,7.2,0.87,20018.45,113013.0,1
Lamphun,Northern,2,243.76,205.96,8.44,0.84,6624.36,226464.0,0
Songkhla,Southern,2,243.21,205.06,10.01,0.84,27117.36,145123.0,1
Kanchanaburi,Western,3,242.77,204.5,7.38,0.84,14189.82,127365.0,1
Sukhothai,Northern,3,242.36,214.83,8.46,0.89,8759.27,80170.0,1
Ang Thong,Central,3,241.67,205.08,6.37,0.85,3809.55,142287.0,0
Chumphon,Southern,2,240.44,205.41,11.77,0.86,7327.45,259853.0,0
Nong Khai,Northeastern,4,240.43,199.85,10.35,0.83,5296.45,97617.0,1
Roi Et,Northeastern,4,240.28,205.29,7.47,0.86,8554.09,78688.0,1
Surat Thani,Southern,2,240.14,202.2,10.54,0.84,31757.82,154835.0,1
Chaiyaphum,Northeastern,4,239.99,204.23,8.85,0.85,6823.82,73134.0,0
Maha Sarakham,Northeastern,4,236.28,198.76,8.48,0.84,8051.73,85228.0,0
Amnat Charoen,Northeastern,4,235.45,202.17,13.87,0.86,2418.55,77048.0,1
Yasothon,Northeastern,4,234.85,209.55,13.02,0.89,2681.18,70327.0,0
Phetchabun,Northern,3,234.57,208.99,11.27,0.89,15233.73,88485.0,1
Chiang Rai,Northern,3,234.25,199.67,12.87,0.85,20762.09,90203.0,0
Phatthalung,Southern,3,232.92,200.49,11.87,0.86,4430.27,81529.0,0
Nakhon Nayok,Eastern,3,232.03,196.97,8.68,0.85,5141.09,115666.0,1
Surin,Northeastern,4,230.48,200.87,9.7,0.87,10050.73,81675.0,1
Phuket,Southern,1,230.24,186.72,11.6,0.81,41560.73,165343.0,2
Ranong,Southern,3,228.83,199.14,12.86,0.87,2040.0,105256.0,0
Narathiwat,Southern,4,228.01,195.04,16.26,0.86,3705.91,61787.0,1
Buri Ram,Northeastern,4,227.07,196.64,8.65,0.87,11199.82,80684.0,1
Trang,Southern,3,224.66,193.13,12.96,0.86,6443.18,109656.0,0
Sakon Nakhon,Northeastern,4,223.69,188.31,10.34,0.84,9273.36,72117.0,0
Si Sa Ket,Northeastern,4,223.16,192.74,11.36,0.86,9156.0,83332.0,1
Nakhon Phanom,Northeastern,4,220.34,187.41,11.62,0.85,6281.64,87122.0,1
Bueng Kan,Northeastern,4,219.18,190.34,12.49,0.87,2937.91,80159.0,0
Phayao,Northern,3,216.48,186.14,12.28,0.86,5691.73,96550.0,0
Nong Bua Lam Phu,Northeastern,4,215.03,187.65,10.31,0.87,3450.55,63568.0,1
Nan,Northern,4,213.16,184.57,28.64,0.87,5763.0,81233.0,0
Yala,Southern,4,211.29,186.72,15.17,0.89,4456.36,105453.0,0
Pattani,Southern,4,209.44,179.61,13.77,0.86,4522.73,78131.0,1
Trat,Eastern,2,207.22,176.84,9.41,0.86,5114.82,160025.0,1
Mukdahan,Northeastern,4,207.22,173.93,11.13,0.84,3402.45,67203.0,1
Phangnga,Southern,2,205.14,182.42,16.66,0.89,5793.73,194282.0,1
Krabi,Southern,2,196.89,169.98,14.67,0.86,9933.45,168552.0,1
