server_site,server_city,server_latitude,server_longitude
ams05,Amsterdam,52.3086,4.76389
ams11,Amsterdam,52.3086,4.76389
ams11,Amsterdam,52.3086,4.7639
ams10,Amsterdam,52.3086,4.7639
ams08,Amsterdam,52.3086,4.7639
ams09,Amsterdam,52.3086,4.7639
ams05,Amsterdam,52.3086,4.7639
ams04,Amsterdam,52.3086,4.7639
ams03,Amsterdam,52.3086,4.7639
tnr01,Antananarivo,-18.7969,47.4788
ath03,Athens,37.9364,23.9444
ath03,Athens,37.9364,23.9445
atl08,Atlanta,33.6367,-84.4281
atl07,Atlanta,33.6367,-84.4281
atl02,Atlanta,33.6367,-84.4281
atl04,Atlanta,33.6367,-84.4281
atl03,Atlanta,33.6367,-84.4281
akl01,Auckland,-36.85,174.783
akl01,Auckland,-37.0081,174.792
bcn01,Barcelona,41.2971,2.07846
bcn01,Barcelona,41.2974,2.0811
beg01,Belgrade,44.8216,20.2921
beg01,Belgrade,44.8184,20.3091
ber02,Berlin,52.3514,13.4939
ber02,Berlin,52.3667,13.5033
ber01,Berlin,52.3667,13.5033
bog05,Bogota,4.70159,-74.1469
bog02,Bogota,4.70159,-74.1469
bog05,Bogota,4.69715,-74.14329
bog03,Bogota,4.69715,-74.14329
bog02,Bogota,4.69715,-74.14329
bog04,Bogota,4.69715,-74.14329
bru03,Brussels,50.4974,3.3528
bru01,Brussels,50.4974,3.3528
bru04,Brussels,50.4974,3.3528
bru02,Brussels,50.4974,3.3528
bru06,Brussels,50.4974,3.3528
bru05,Brussels,50.4974,3.3528
bru02,Brussels,50.9014,4.48444
bru04,Brussels,50.9014,4.48444
bru01,Brussels,50.9014,4.48444
bru07,Brussels,50.9014,4.48444
eze02,Buenos Aires,-34.8222,-58.5358
eze03,Buenos Aires,-34.8222,-58.5358
eze01,Buenos Aires,-34.8222,-58.5358
yyc03,Calgary,51.1139,-114.02
yyc03,Calgary,51.1315,-114.0106
cpt01,Cape Town,-33.9648,18.6017
cpt01,Cape Town,-33.9724,18.6018
chs01,Charleston,32.8986,-80.0406
chs02,Charleston,32.8986,-80.0406
chs02,Charleston,32.8986,-80.0405
maa01,Chennai,20.600792,78.96156
maa02,Chennai,20.600792,78.96156
maa02,Chennai,12.99,80.1693
maa03,Chennai,12.99,80.1693
maa01,Chennai,12.99,80.1693
maa03,Chennai,12.9941,80.1709
maa02,Chennai,12.9941,80.1709
maa01,Chennai,12.9941,80.1709
ord03,Chicago,41.9786,-87.9047
ord05,Chicago,41.9786,-87.9047
ord06,Chicago,41.9786,-87.9047
ord04,Chicago,41.9786,-87.9047
ord02,Chicago,41.9786,-87.9047
cmh02,Columbus,39.998,-82.8919
cmh02,Columbus,39.9981,-82.8919
cmh01,Columbus,39.9981,-82.8919
dfw05,Dallas,32.8969,-97.0381
dfw07,Dallas,32.8969,-97.0381
dfw03,Dallas,32.8969,-97.0381
dfw08,Dallas,32.8969,-97.0381
dfw11,Dallas,32.8969,-97.0381
dfw10,Dallas,32.8969,-97.0381
dfw02,Dallas,32.8969,-97.0381
dfw09,Dallas,32.8969,-97.0381
dfw12,Dallas,32.8969,-97.0381
dfw03,Dallas,32.8968,-97.038
dfw08,Dallas,32.8968,-97.038
dfw12,Dallas,32.8968,-97.038
dfw02,Dallas,32.8968,-97.038
den02,Denver,39.8561,-104.6737
den06,Denver,39.8561,-104.6737
den04,Denver,39.8561,-104.6737
den05,Denver,39.8561,-104.6737
den02,Denver,39.8617,-104.673
den04,Denver,39.8617,-104.673
doh02,Doha,25.2731,51.6081
doh01,Doha,25.2731,51.6081
dub01,Dublin,53.4213,-6.27007
dub01,Dublin,53.4333,-6.25
fln01,Florianopolis,-27.6703,-48.5525
fln01,Florianopolis,-27.6685,-48.546
fra07,Frankfurt,50.0379,8.5622
fra03,Frankfurt,50.0379,8.5622
fra04,Frankfurt,50.0379,8.5622
fra06,Frankfurt,50.0379,8.5622
fra05,Frankfurt,50.0379,8.5622
fra02,Frankfurt,50.0379,8.5622
fra01,Frankfurt,50.0379,8.5622
fra08,Frankfurt,50.0379,8.5622
fra08,Frankfurt,50.0333,8.57056
fra04,Frankfurt,50.0333,8.57056
fra03,Frankfurt,50.0333,8.57056
ham02,Hamburg,53.6333,9.9833
ham02,Hamburg,53.6304,9.98823
hel02,Helsinki,60.3172,24.9633
hel01,Helsinki,60.3172,24.9633
hkg05,Hong Kong,22.3089,113.9144
hkg03,Hong Kong,22.3089,113.9144
hkg02,Hong Kong,22.3089,113.9144
hkg04,Hong Kong,22.3089,113.9144
hkg01,Hong Kong,22.3089,113.9144
hkg03,Hong Kong,22.3089,113.915
hkg05,Hong Kong,22.3089,113.915
cgk01,Jakarta,-6.1256,106.6558
cgk02,Jakarta,-6.1256,106.6558
cgk02,Jakarta,-6.12556,106.656
jnb01,Johannesburg,-26.2035,28.1335
jnb01,Johannesburg,-26.1392,28.246
los02,Lagos,6.5821,3.3211
los02,Lagos,6.57737,3.32116
las01,Las Vegas,36.08,-115.1522
las02,Las Vegas,36.08,-115.1522
las02,Las Vegas,36.0801,-115.152
lim01,Lima,-12.0219,-77.1144
lim03,Lima,-12.0219,-77.1144
lim01,Lima,-12.0219,-77.1143
lis02,Lisbon,38.7813,-9.13592
lis01,Lisbon,38.7813,-9.13592
lis03,Lisbon,38.7813,-9.13592
lis03,Lisbon,38.7756,-9.1354
lis02,Lisbon,38.7756,-9.1354
