server_site,server_city,server_latitude,server_longitude
wlg02,Wellington,-41.3272,174.805
mel02,Melbourne,-37.6733,144.843
mel01,Melbourne,-37.6733,144.8433
mel02,Melbourne,-37.6733,144.8433
akl01,Auckland,-37.0081,174.792
akl01,Auckland,-36.85,174.783
eze04,Buenos Aires,-34.8222,-58.5358
eze01,Buenos Aires,-34.8222,-58.5358
eze02,Buenos Aires,-34.8222,-58.5358
syd04,Sydney,-33.9461,151.177
syd08,Sydney,-33.9461,151.177
syd06,Sydney,-33.9461,151.177
syd05,Sydney,-33.9461,151.177
syd07,Sydney,-33.9461,151.177
syd03,Sydney,-33.9461,151.177
scl03,Santiago,-33.3928,-70.7856
scl06,Santiago,-33.3928,-70.7856
scl01,Santiago,-33.3928,-70.7856
per02,Perth,-31.9403,115.9669
per01,Perth,-31.9403,115.9669
per01,Perth,-31.9403,115.967
per02,Perth,-31.9403,115.967
fln01,Florianopolis,-27.6703,-48.5525
jnb01,Johannesburg,-26.2035,28.1335
jnb02,Johannesburg,-26.2035,28.1335
jnb01,Johannesburg,-26.1392,28.246
jnb02,Johannesburg,-26.1392,28.246
mpm02,Maputo,-25.9208,32.5725
gru03,Sao Paulo,-23.4322,-46.4692
gru02,Sao Paulo,-23.4322,-46.4692
gru06,Sao Paulo,-23.4322,-46.4692
gru04,Sao Paulo,-23.4305,-46.473
gru05,Sao Paulo,-23.4305,-46.473
gru03,Sao Paulo,-23.4305,-46.473
gru06,Sao Paulo,-23.4305,-46.473
gru02,Sao Paulo,-23.4305,-46.473
gig01,Rio de Janeiro,-22.8052,-43.2588
gig03,Rio de Janeiro,-22.8052,-43.2588
tnr01,Antananarivo,-18.7969,47.4788
lim02,Lima,-12.0219,-77.1143
cgk02,Jakarta,-6.1256,106.6558
cgk01,Jakarta,-6.1256,106.6558
cgk02,Jakarta,-6.12556,106.656
nbo01,Nairobi,-1.31924,36.9278
nbo01,Nairobi,-1.3192,36.9258
sin03,Singapore,1.35019,103.994
sin01,Singapore,1.35019,103.994
sin03,Singapore,1.355,103.988
sin01,Singapore,1.355,103.988
sin02,Singapore,1.355,103.988
bog04,Bogota,4.69715,-74.14329
bog03,Bogota,4.69715,-74.14329
bog02,Bogota,4.69715,-74.14329
bog05,Bogota,4.69715,-74.14329
bog02,Bogota,4.70159,-74.1469
bog05,Bogota,4.70159,-74.1469
los02,Lagos,6.57737,3.32116
los02,Lagos,6.5821,3.3211
maa03,Chennai,12.99,80.1693
maa02,Chennai,12.99,80.1693
maa01,Chennai,12.99,80.1693
maa02,Chennai,12.9941,80.1709
maa01,Chennai,12.9941,80.1709
maa03,Chennai,12.9941,80.1709
mnl02,Manila,14.5086,121.0194
mnl01,Manila,14.5086,121.0194
bom03,Mumbai,19.0886,72.8681
bom01,Mumbai,19.0886,72.8681
bom06,Mumbai,19.0886,72.8681
bom05,Mumbai,19.0886,72.8681
bom02,Mumbai,19.0886,72.8681
bom04,Mumbai,19.0886,72.8681
bom06,Mumbai,19.0887,72.8679
bom04,Mumbai,19.0887,72.8679
bom02,Mumbai,19.0887,72.8679
mex01,Mexico City,19.4361,-99.0719
mex01,Mexico City,19.4363,-99.0721
mex04,Mexico City,19.4363,-99.0721
bom02,Mumbai,20.600792,78.96156
bom03,Mumbai,20.600792,78.96156
del03,New Delhi,20.600792,78.96156
maa02,Chennai,20.600792,78.96156
