province_en,province_th,region,area_km2,pop_2024,density_per_km2,internet_tier,gdp_per_capita_raw_2021,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Bantey Meanchey,Bantey Meanchey,Northwest,6679,898484,135,1,2167.4,6225.53,199216.96
Battambang,Battambang,Northwest,11702,1132017,97,2,2167.4,6225.53,199216.96
Kampong Cham,Kampong Cham,East,4549,1062914,234,4,2167.4,6225.53,199216.96
Kampong Chhnang,Kampong Chhnang,Center,5521,604895,110,1,2167.4,6225.53,199216.96
Kampong Speu,Kampong Speu,Southwest,7017,924175,132,4,2167.4,6225.53,199216.96
Kampong Thom,Kampong Thom,Center,13814,807254,58,3,2167.4,6225.53,199216.96
Kampot,Kampot,Southwest,4873,682987,140,2,2167.4,6225.53,199216.96
Kandal,Kandal,Center,3179,1352198,425,2,2167.4,6225.53,199216.96
Kep,Kep,South,336,48772,145,2,2167.4,6225.53,199216.96
Koh Kong,Koh Kong,Southwest,10090,140962,14,3,2167.4,6225.53,199216.96
Kratie,Kratie,East,11094,441078,40,3,2167.4,6225.53,199216.96
Mondulkiri,Mondulkiri,East,14288,93657,7,4,2167.4,6225.53,199216.96
Oddar Meanchey,Oddar Meanchey,North,6158,267703,43,1,2167.4,6225.53,199216.96
Pailin,Pailin,West,803,79445,99,2,2167.4,6225.53,199216.96
Phnom Penh,Phnom Penh,Capital,679,2352851,3465,1,2167.4,6225.53,199216.96
Preah Sihanouk,Preah Sihanouk,South,1938,234702,121,2,2167.4,6225.53,199216.96
Preah Vihear,Preah Vihear,North,13788,249973,18,3,2167.4,6225.53,199216.96
Prey Veng,Prey Veng,East,4883,1277867,262,1,2167.4,6225.53,199216.96
Pursat,Pursat,West,12692,516072,41,4,2167.4,6225.53,199216.96
Ratanakiri Province,Ratanakiri Province,Northeast,10782,235852,22,4,2167.4,6225.53,199216.96
Siem Reap,Siem Reap,Northwest,10299,1099825,107,1,2167.4,6225.53,199216.96
Stung Treng,Stung Treng,Northeast,11092,176488,16,3,2167.4,6225.53,199216.96
Svay Rieng,Svay Rieng,Southeast,2966,613159,207,2,2167.4,6225.53,199216.96
Tbong Khmum,Tbong Khmum,East,5250,889970,170,4,2167.4,6225.53,199216.96
Takeo,Takeo,South,3563,1097243,308,1,2167.4,6225.53,199216.96
