province_en,province_th,region,area_km2,pop_2024,density_per_km2,internet_tier,gdp_per_capita_raw_2021,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Xaignabouli,Xaignabouli,North,16389,439400,27,2,2526.05,8080.44,258574.08
Attapeu,Attapeu,South,10320,167000,16,4,2526.05,8080.44,258574.08
Bokeo,Bokeo,North,6196,213300,34,1,2526.05,8080.44,258574.08
Bolikhamsai,Bolikhamsai,Central,14863,330700,22,3,2526.05,8080.44,258574.08
Champasak,Champasak,South,15415,781200,51,1,2526.05,8080.44,258574.08
Houaphan,Houaphan,North,16500,317100,19,3,2526.05,8080.44,258574.08
Khammouane,Khammouane,Central,16315,451300,28,2,2526.05,8080.44,258574.08
Luang Namtha,Luang Namtha,North,9325,208900,22,3,2526.05,8080.44,258574.08
Luang Prabang,Luang Prabang,North,16875,477700,28,2,2526.05,8080.44,258574.08
Oudomxay,Oudomxay,North,15370,360800,23,3,2526.05,8080.44,258574.08
Phongsaly,Phongsaly,North,16270,197600,12,4,2526.05,8080.44,258574.08
Salavan,Salavan,South,10691,464800,43,1,2526.05,8080.44,258574.08
Savannakhet,Savannakhet,South,21774,1117500,51,1,2526.05,8080.44,258574.08
Vientiane Capital,Vientiane Capital,Central,3920,1009300,257,1,2526.05,8080.44,258574.08
Vientiane,Vientiane,Central,15610,479400,31,2,2526.05,8080.44,258574.08
Xaisomboun,Xaisomboun,Central,8551,116800,14,4,2526.05,8080.44,258574.08
Xekong,Xekong,South,7665,136700,18,4,2526.05,8080.44,258574.08
Xiangkhouang,Xiangkhouang,North,14751,274400,19,3,2526.05,8080.44,258574.08
