province_en,province_th,region,area_km2,pop_2024,density_per_km2,internet_tier,gdp_per_capita_raw_2021,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Ayeyarwady,Ayeyarwady,Lower Myanmar / Delta-Coastal,35031.8,6184829,177,1,1242.72,5178.45,165710.4
Chin,Chin,Northern / Western Highlands,36018.8,478801,13,4,1242.72,5178.45,165710.4
Saigang,Saigang,Central Dry Zone,93704.8,5325347,57,3,1242.72,5178.45,165710.4
Kachin,Kachin,Northern / Western Highlands,89041.8,1689441,19,4,1242.72,5178.45,165710.4
Kayah,Kayah,Eastern Highlands,11731.5,286627,24,4,1242.72,5178.45,165710.4
Kayin,Kayin,Lower Myanmar / Delta-Coastal,30383.0,1574079,52,3,1242.72,5178.45,165710.4
Magway,Magway,Central Dry Zone,44820.6,3917055,87,2,1242.72,5178.45,165710.4
Mandalay,Mandalay,Central Dry Zone,44999.6,7325965,163,1,1242.72,5178.45,165710.4
Mon,Mon,Lower Myanmar / Delta-Coastal,12296.6,2054393,167,1,1242.72,5178.45,165710.4
Rakhine,Rakhine,Northern / Western Highlands,36778.0,3188807,87,2,1242.72,5178.45,165710.4
Tanitharyi,Tanitharyi,Lower Myanmar / Delta-Coastal,44344.9,1408401,32,4,1242.72,5178.45,165710.4
Bago,Bago,Lower Myanmar / Delta-Coastal,39402.3,4867373,124,2,1242.72,5178.45,165710.4
Yangon,Yangon,Lower Myanmar / Delta-Coastal,10276.7,7360703,716,1,1242.72,5178.45,165710.4
Shan,Shan,Eastern Highlands,155801.3,5824432,37,3,1242.72,5178.45,165710.4
