province_en,province_th,region,area_km2,pop_2024,density_per_km2,internet_tier,gdp_per_capita_raw_2021,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
An Giang,An Giang,Mekong Delta,3536.68,2057000,540,1,3791.46,10591.12,338704.14
Bà Rịa–Vũng Tàu,Bà Rịa–Vũng Tàu,Southeast,1980.98,1303000,580,1,36786.39,102759.68,3286254.54
Bình Dương,Bình Dương,Southeast,2694.64,2564000,901,2,3663.54,10233.79,327276.61
Bình Phước,Bình Phước,Southeast,6876.76,1313000,145,2,3606.56,10074.62,322186.39
Bình Thuận,Bình Thuận,South Central Coast,7943.93,1498000,155,2,3090.17,8632.13,276055.5
Bình Định,Bình Định,South Central Coast,6066.21,1679000,245,2,3089.1,8629.14,275959.91
Bạc Liêu,Bạc Liêu,Mekong Delta,2669.01,1105000,340,2,3701.98,10341.17,330710.59
Bắc Giang,Bắc Giang,Northeast,3895.59,1884000,463,4,1909.44,5333.86,170576.83
Bắc Kạn,Bắc Kạn,Northeast,4859.96,338000,65,4,1766.68,4935.07,157823.59
Bắc Ninh,Bắc Ninh,Red River Delta,822.71,1447000,1664,1,4451.41,12434.64,397659.74
Bến Tre,Bến Tre,Mekong Delta,2394.81,1331000,538,2,2978.48,8320.13,266077.85
Cao Bằng,Cao Bằng,Northeast,6700.26,576000,79,4,1564.27,4369.66,139741.61
Cà Mau,Cà Mau,Mekong Delta,5221.19,1369000,229,2,3121.66,8720.09,278868.61
Côn Đảo,Côn Đảo,Southeast,1980.98,1303000,580,1,36786.39,102759.68,3286254.54
Cần Thơ,Cần Thơ,Mekong Delta,1438.96,1456000,858,1,6260.52,17488.23,559273.75
Gia Lai,Gia Lai,Central Highlands,15510.99,1586000,98,2,3023.2,8445.05,270072.84
Ho Chi Minh,Ho Chi Minh,Southeast,2061.41,9125000,4363,1,7147.09,19964.79,638474.09
Hà Giang,Hà Giang,Northeast,7929.48,910000,108,4,1083.72,3027.28,96812.43
Hà Nam,Hà Nam,Red River Delta,861.93,945000,989,4,2131.93,5955.37,190452.63
Hà Nội,Hà Nội,Red River Delta,3358.6,8146000,2398,1,3923.21,10959.16,350473.82
Hà Tĩnh,Hà Tĩnh,North Central Coast,5990.67,1402000,215,4,2117.32,5914.55,189147.47
Hòa Bình,Hòa Bình,Northwest,4590.57,979000,186,3,2343.13,6545.34,209319.85
Hưng Yên,Hưng Yên,Red River Delta,930.22,1340000,1347,3,2503.79,6994.13,223672.16
Hải Dương,Hải Dương,Red River Delta,1668.24,2003000,1134,3,2513.92,7022.42,224577.11
Hải Phòng,Hải Phòng,Red River Delta,1561.76,2138000,1299,1,3849.18,10752.36,343860.47
Hậu Giang,Hậu Giang,Mekong Delta,1621.7,853000,452,2,2943.84,8223.37,262983.34
Khánh Hòa,Khánh Hòa,South Central Coast,5137.79,1371000,240,1,4180.68,11678.38,373474.5
Kiên Giang,Kiên Giang,Mekong Delta,6348.78,1789000,271,1,4336.43,12113.45,387388.18
Kon Tum,Kon Tum,Central Highlands,9674.18,589000,56,4,2075.42,5797.51,185404.4
Lai Châu,Lai Châu,Northwest,9068.79,527000,51,4,1081.84,3022.03,96644.48
Long An,Long An,Mekong Delta,4494.94,1730000,376,1,4012.39,11208.27,358440.58
Lào Cai,Lào Cai,Northwest,6364.03,898000,115,3,2767.55,7730.92,247234.74
Lâm Đồng,Lâm Đồng,Central Highlands,9783.34,1390000,133,2,3331.8,9307.1,297641.14
Lạng Sơn,Lạng Sơn,Northeast,8310.09,828000,94,4,2201.98,6151.05,196710.43
Nam Định,Nam Định,Red River Delta,1668.57,1852000,1067,4,1904.97,5321.37,170177.51
Nghệ An,Nghệ An,North Central Coast,16481.41,3399000,202,3,2379.59,6647.18,212576.95
Ninh Bình,Ninh Bình,Red River Delta,1386.79,1102000,708,3,2478.79,6924.29,221438.82
Ninh Thuận,Ninh Thuận,South Central Coast,3355.34,720000,176,3,2402.34,6710.73,214609.28
Phú Thọ,Phú Thọ,Northeast,3534.56,1515000,414,4,1916.23,5352.83,171183.41
Phú Yên,Phú Yên,South Central Coast,5023.42,1056000,174,3,2541.8,7100.3,227067.72
Quảng Bình,Quảng Bình,North Central Coast,8065.3,992000,112,3,2203.01,6153.92,196802.45
Quảng Nam,Quảng Nam,South Central Coast,10574.86,1697000,141,2,3192.34,8917.53,285182.69
Quảng Ngãi,Quảng Ngãi,South Central Coast,5155.78,1355000,239,2,3516.44,9822.88,314135.66
Quảng Ninh,Quảng Ninh,Northeast,6178.21,1387000,214,1,7834.55,21885.15,699887.25
Quảng Trị,Quảng Trị,North Central Coast,4621.72,687000,137,3,2672.1,7464.29,238707.87
Sóc Trăng,Sóc Trăng,Mekong Delta,3311.88,1256000,362,3,2835.46,7920.62,253301.38
Sơn La,Sơn La,Northwest,14123.49,1356000,88,4,1773.9,4955.24,158468.58
Thanh Hóa,Thanh Hóa,North Central Coast,11114.65,3689000,328,3,2434.69,6801.1,217499.22
Thái Bình,Thái Bình,Red River Delta,1586.35,1934000,1173,4,2090.86,5840.64,186783.7
Thái Nguyên,Thái Nguyên,Northeast,3526.64,1356000,365,3,2547.11,7115.14,227542.08
Thừa Thiên Huế,Thừa Thiên Huế,North Central Coast,4902.44,1257000,230,2,3072.58,8582.99,274484.12
Tiền Giang,Tiền Giang,Mekong Delta,2510.61,1898000,703,1,3781.77,10564.06,337838.5
Trà Vinh,Trà Vinh,Mekong Delta,2358.26,1067000,428,3,2662.89,7438.56,237885.11
Tuyên Quang,Tuyên Quang,Northeast,5867.9,1056000,134,4,1948.18,5442.08,174037.61
Tây Ninh,Tây Ninh,Southeast,4041.25,1207000,289,1,4058.65,11337.5,362573.14
Vĩnh Long,Vĩnh Long,Mekong Delta,1525.73,1100000,670,2,3360.01,9385.9,300161.23
Vĩnh Phúc,Vĩnh Phúc,Red River Delta,1235.87,1296000,932,1,3990.61,11147.43,356494.89
Yên Bái,Yên Bái,Northwest,6887.46,950000,119,4,1845.51,5155.28,164865.75
Điện Biên,Điện Biên,Northwest,9541.25,705000,63,4,1589.03,4438.82,141953.51
Đà Nẵng,Đà Nẵng,South Central Coast,1284.88,1294000,883,1,4811.58,13440.74,429834.96
Đắk Lắk,Đắk Lắk,Central Highlands,13030.5,2016000,143,3,2555.78,7139.36,228316.6
Đắk Nông,Đắk Nông,Central Highlands,6509.27,670000,96,2,3000.7,8382.2,268062.84
Đồng Nai,Đồng Nai,Southeast,5863.6,3227000,528,2,3485.16,9735.5,311341.31
Đồng Tháp,Đồng Tháp,Mekong Delta,3383.85,1838000,473,3,2240.56,6258.82,200156.92
