country,area,network_type,busy_mbps,degr
Thailand,capital,broadband,30.6,0.804
Thailand,capital,cellular,8.1,0.556
Thailand,rest,broadband,38.1,0.956
Thailand,rest,cellular,7.1,0.566
Vietnam,capital,broadband,27.5,0.602
Vietnam,capital,cellular,14.1,0.47
Vietnam,rest,broadband,32.1,0.616
Vietnam,rest,cellular,16.0,0.468
Philippines,capital,broadband,25.7,0.486
Philippines,capital,cellular,5.6,0.254
Philippines,rest,broadband,23.1,0.453
Philippines,rest,cellular,6.0,0.353
Indonesia,capital,broadband,10.5,0.668
Indonesia,capital,cellular,8.9,0.362
Indonesia,rest,broadband,7.3,0.74
Indonesia,rest,cellular,8.8,0.428
Malaysia,capital,broadband,40.5,0.581
Malaysia,capital,cellular,9.6,0.428
Malaysia,rest,broadband,43.0,0.774
Malaysia,rest,cellular,8.5,0.404
